,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
206,José Ignacio Sánchez Galán,295,"September 30, 1950 (age 69 years), Villavieja de Yeltes, Spain",Spain,"EOI Business School, Comillas Pontifical University",1950.0,2016.0
207,Jean-Sébastien Jacques,296,"October 1971 (age 48 years), Orléans, France",France,École Centrale Paris,1971.0,2016.0
208,David I. McKay,297,"Montreal, Canada",Canada,"Ivey Business School, John Rennie High School, University of Waterloo",,2016.0
209,Carl M. Casale,299,,,Oregon State University,,2016.0
210,Jean Pierre Mustier,300,,,,,2016.0
211,Kenneth I. Chenault,302,"June 2, 1951 (age 68 years), Mineola, NY",United States,"Bowdoin College (1973), Harvard Law School, Harvard University",1951.0,2016.0
212,Andrew Thorburn,304,"April 13, 1965 (age 55 years), Melbourne, Australia",Australia,,1965.0,2016.0
213,Francesco Caio,305,"August 23, 1957 (age 62 years), Naples, Italy",Italy,Politecnico di Milano,1957.0,2016.0
214,Donald J. Walker,306,"1956 (age 64 years), Canada",Canada,University of Waterloo,1956.0,2016.0
215,Pierre Nanterme,312,"1959, Lyon, France",France,ESSEC Business School,1959.0,2016.0
216,John F. Milligan,316,,,"Ohio Wesleyan University, University of Illinois at Urbana-Champaign",,2016.0
217,Todd Jones,317,"April 24, 1968 (age 52 years), Marietta, GA",United States,"Osborne High School, Magnolia High School, Jacksonville State University",1968.0,2016.0
218,Guillaume Pepy,319,"May 26, 1958 (age 61 years), Neuilly-sur-Seine, France",France,"École Nationale d'Administration (1984), École alsacienne, Sciences Po""",1958.0,2016.0
219,Youxi Zhang,322,,,,,2016.0
220,Barry Lam,326,"April 24, 1949 (age 71 years), Shanghai, China",China,,1949.0,2016.0
221,Phebe Novakovic,330,"1957 (age 63 years), Pittsburgh, PA",United States,"Wharton School of the University of Pennsylvania, Smith College",1957.0,2016.0
222,Li Qingkui,331,"March 1956 (age 64 years), Shandong, China",China,North China Electric Power University,1956.0,2016.0
223,Masaaki Tsuya,333,"June 22, 1952 (age 67 years), Tokyo, Japan",Japan,Hitotsubashi University,1952.0,2016.0
224,Ryan Lance,339,"Butte, MT",United States,"Montana Tech (1984), Great Falls High School",,2016.0
225,John T. Standley,340,,,,,2016.0
226,Mark Parker,343,"October 21, 1955 (age 64 years), Poughkeepsie, NY",United States,"Penn State University (1977), Westhill High School",1955.0,2016.0
227,Inge Thulin,348,"November 9, 1953 (age 66 years), Malmö Municipality, Sweden",Sweden,"Gothenburg School of Business, Economics and Law (1978), Gothenburg University, IHM Business School",1953.0,2016.0
228,Wu Qiang,349,,,,,2016.0
229,Bharat Masrani,350,"May 26, 1956 (age 63 years), Uganda",Canada,"Schulich School of Business (1979), York University (1978)",1956.0,2016.0
230,Paul Desmarais Jr.,351,"July 3, 1954 (age 65 years), Greater Sudbury, Canada",Canada,"INSEAD Europe Campus (1979), Lakefield College School, McGill University",1954.0,2016.0
231,Irene Rosenfeld,352,"May 3, 1953 (age 66 years), Westbury, NY",United States,"Cornell University (1977), Cornell University (1975), W. Tresper Clarke High School",1953.0,2016.0
232,Jean-Pascal Tricoire,354,"November 5, 1963 (age 56 years), Beaupréau",,"ESEO, Emlyon Business School",1963.0,2016.0
233,James Murdoch,360,"December 13, 1972 (age 47 years), London, United Kingdom",English,"Horace Mann School, Harvard University",1972.0,2016.0
234,Ross McEwan,361,"July 16, 1957 (age 62 years), New Zealand",Zealand,"Hastings Boys' High School, Massey University""",1957.0,2016.0
235,Shayne Elliott,362,New Zealand,Zealand,"The University of Auckland, Waitakere College",,2016.0
236,Jean-Marc Janaillac,363,"April 26, 1953 (age 67 years), Saint-Sulpice-de-Roumagnac, France",France,"École Nationale d'Administration (1980), HEC Paris (1975)""",1953.0,2016.0
237,Samuel R. Allen,364,"1954 (age 66 years), Sumter, SC",United States,"Purdue University (1975), Northwestern High School, Krannert School of Management",1954.0,2016.0
238,Liu Qiangdong,366,"Lailongzhen, Suqian, China",China,"China Europe International Business School, Renmin University of China",,2016.0
239,Frans van Houten,368,"April 26, 1960 (age 60 years), Netherlands",Netherlands,Erasmus University Rotterdam,1960.0,2016.0
240,Gavin Patterson,369,"September 6, 1967 (age 52 years), Altrincham, United Kingdom",United Kingdom,"Emmanuel College, University of Cambridge",1967.0,2016.0
241,Xi Jinping,370,"June 15, 1953 (age 66 years), Beijing, China",China,"Tsinghua University (1998–2002), MORE",1953.0,2016.0
242,Gregory J. Goff,375,,,The University of Utah,,2016.0
243,Jeff Bewkes,376,"May 25, 1952 (age 67 years), Paterson, NJ",United States,"Stanford Graduate School of Business (1977), Deerfield Academy, Yale University, Stanford University",1952.0,2016.0
244,Jean Paul Agon,378,"July 6, 1956 (age 63 years), Boulogne-Billancourt, France",France,HEC Paris,1956.0,2016.0
245,Edward D. Breen,379,"1956 (age 64 years), Grove City, PA",United States,Grove City College (1978),1956.0,2016.0
246,William Amelio,380,,,"Stanford University, MIT Sloan School of Management, Lehigh University",,2016.0
247,Antoine Frérot,382,"June 3, 1958 (age 61 years), Fontainebleau, France",France,"École des ponts ParisTech, École Polytechnique",1958.0,2016.0
248,Wang Jianlin,385,"October 24, 1954 (age 65 years), Mianyang, China",China,"Liaoning University', ""Books: The Wanda Way: The managerial philosophy and values of one of China's largest companies"", 'Children: Wang Sicong",1954.0,2016.0
249,Richard J. Cousins,387,"March 29, 1959, Leeds, United Kingdom",United Kingdom,"The Brakenhale School, Lancaster University Management School, The University of Sheffield",1959.0,2016.0
250,Terry Lundgren,389,"1952 (age 68 years), Southern California, CA",United States,"The University of Arizona (1974), UA - Eller College of Management",1952.0,2016.0
251,Frans Muller,390,,,Erasmus University Rotterdam,,2016.0
252,Donald Guloien,394,"April 27, 1957 (age 62 years), Parry Sound",Sound,University of Toronto - St. George Campus,1957.0,2016.0
253,Yasuyuki Yoshinaga,395,"March 5, 1954 (age 66 years), Japan",Japan,Seikei University,1954.0,2016.0
254,Alan D. Schnitzer,397,"1965 (age 55 years), United States",United States,"Wharton School of the University of Pennsylvania, Columbia Law School",1965.0,2016.0
255,André Calantzopoulos,398,"1958 (age 62 years), Archaeological Site of Olympia, Greece",Greece,"INSEAD Europe Campus, Swiss Federal Institute of Technology Lausanne",1958.0,2016.0
256,Flavio Cattaneo,404,"June 27, 1963 (age 56 years), Rho, Italy",Italy,Politecnico di Milano,1963.0,2016.0
257,Toshihiro Suzuki,405,"March 1959 (age 61 years), Shizuoka, Japan",Japan,,1959.0,2016.0
258,Li Shufu,410,"June 25, 1963 (age 56 years), Taizhou, China",China,"Hubei University of Economics, Yanshan University, Harbin University of Science and Technology",1963.0,2016.0
259,Albert Manifold,411,August 1962 (age 57 years),,,1962.0,2016.0
260,Won Joon Lee,414,"October 23, 1985 (age 34 years), South Korea",South Korea,,1985.0,2016.0
261,Ian King,415,"April 24, 1956 (age 64 years), United Kingdom",United Kingdom,,1956.0,2016.0
262,Philippe Wahl,418,"March 11, 1956 (age 64 years), Sarralbe, France",France,"École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Georgette Meyer, Adrien Wahl",1956.0,2016.0
263,Levent Çakıroğlu (Levent Cakiroglu),419,"1967 (age 53 years), Ankara, Turkey",Turkey,"Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign",1967.0,2016.0
264,Steve Easterbrook,420,"1967 (age 53 years), Watford, United Kingdom",United Kingdom,"St Chad's College, Durham, Watford Boys Grammar School""",1967.0,2016.0
265,William M. Walsh,421,"October 25, 1961 (age 58 years), Dublin, Ireland",Ireland,"Trinity College Dublin, Ardscoil Rís, Dublin",1961.0,2016.0
266,Steven Mollenkopf,422,,,,,2016.0
267,Eddie Lampert,425,"July 19, 1962 (age 57 years), Roslyn, NY",United States,Yale University (1984),1962.0,2016.0
268,Sang-Beom Han,429,June 1955 (age 64 years),,"Stevens Institute of Technology, Yonsei University, Yongsan High School",1955.0,2016.0
269,Richard Fairbank,430,"September 18, 1950 (age 69 years), California",California,"Stanford University, Stanford Graduate School of Business",1950.0,2016.0
270,Emmanuel Faber,433,"January 22, 1964 (age 56 years), Grenoble, France",France,HEC Paris,1964.0,2016.0
271,Antonio Huertas,434,"January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",Spain,University of Salamanca,1964.0,2016.0
272,Pascal Soriot,435,"May 23, 1959 (age 60 years), France",France,HEC Paris,1959.0,2016.0
273,Joseph M. Tucci,436,"1947 (age 73 years), Brooklyn, New York, NY",United States,"Columbia University, Bethlehem Central High School, Manhattan College, Columbia Business School",1947.0,2016.0
274,Potts David T,437,,,,,2016.0
275,Eric Christian Olsen,438,"May 31, 1977 (age 42 years), Eugene, OR",United States,,1977.0,2016.0
276,"Dr. Chang Soo Kim, MD",439,,,,,2016.0
277,Alain Dehaze,442,"1963 (age 57 years), Belgium",Belgium,ICHEC Brussels Management School,1963.0,2016.0
278,Wiebe Draijer,445,"August 27, 1965 (age 54 years), Enschede, Netherlands",Netherlands,Delft University of Technology,1965.0,2016.0
279,Lynn Good,446,Ohio,,Miami University,,2016.0
280,David J. Lesar,449,"May 30, 1953 (age 66 years), Madison, WI",,"University of Wisconsin-Madison, Wisconsin School of Business",1953.0,2016.0
281,Wesley G. Bush,450,"1961 (age 59 years), United States",United States,Massachusetts Institute of Technology,1961.0,2016.0
282,Jean-Dominique Senard,451,"March 7, 1953 (age 67 years), Neuilly-sur-Seine, France",France,HEC Paris,1953.0,2016.0
283,Wojciech Jasiński,454,"April 1, 1948 (age 72 years), Gostynin, Poland",Poland,"Faculty Of Law And Administration , Warsaw University (1972), University of Warsaw",1948.0,2016.0
284,Mark Tucker,456,"December 29, 1957 (age 62 years), England, United Kingdom",United Kingdom,University of Leeds,1957.0,2016.0
285,Thomas A. Kennedy,457,"1955 (age 65 years), United States",United States,"Rutgers University, Air Force Institute of Technology, University of California, Los Angeles",1955.0,2016.0
286,Steven Williams,458,,,,,2016.0
287,Jean-François van Boxmeer,459,"September 12, 1961 (age 58 years), Ixelles, Belgium",Belgium,Université de Namur,1961.0,2016.0
288,Greg L. Armstrong,460,1959 (age 61 years),,Southeastern Oklahoma St University,1959.0,2016.0
289,Bill McDermott,462,"August 18, 1961 (age 58 years), Flushing, New York, NY",United States,"Dowling College, University of Pennsylvania, MORE",1961.0,2016.0
290,Pablo Isla,463,"January 22, 1964 (age 56 years), Madrid, Spain",Spain,"Complutense University of Madrid, Our Lady of Remembrance College, Madrid",1964.0,2016.0
291,Friedrich Joussen,467,"April 19, 1963 (age 57 years), Duisburg, Germany",Germany,Landfermann-Gymnasium,1963.0,2016.0
292,Richard A. Gonzalez,469,"January 21, 1954 (age 66 years)",United States,University of Houston,1954.0,2016.0
293,John Pettigrew,471,"October 1968 (age 51 years), Pontypridd, United Kingdom",United Kingdom,Cardiff University,1968.0,2016.0
294,Victor Li Tzar-kuoi,473,"August 1, 1964 (age 55 years), Hong Kong",,"Stanford University, St. Paul's Co-educational College"", 'Parents: Li Ka-shing, Chong Yuet Ming",1964.0,2016.0
295,Wayne T. Smith,475,"January 29, 1945 (age 75 years), Birmingham, AL",United States,"Trinity University, Auburn University",1945.0,2016.0
296,Klaus Kleinfeld,476,"November 6, 1957 (age 62 years), Bremen, Germany",Germany,"Julius-Maximilians-Universität, University of Göttingen",1957.0,2016.0
297,Andrey Kostin,478,"September 21, 1956 (age 63 years), Moscow, Russia",Russia,Moscow State University,1956.0,2016.0
298,David Farr,480,"1955 (age 65 years), United States",United States,"Vanderbilt University (1980), Wake Forest University (1977), Owen Graduate School of Management",1955.0,2016.0
299,Paul Fang,481,"1967 (age 53 years), Anhui, China",China,East China Normal University,1967.0,2016.0
300,Gerald W. Schwartz,483,"November 24, 1941 (age 78 years), Winnipeg, Canada",Canada,"Harvard University, University of Manitoba, Kelvin High School",1941.0,2016.0
301,Robert A. Bradway,487,1963 (age 57 years),,"Amherst College, Harvard University",1963.0,2016.0
302,Karl-Johan Persson,488,"March 25, 1975 (age 45 years), London, United Kingdom",United Kingdom,"European Business School London, Enskilda Gymnasiet, Regent's University London, EBS Business School"", 'Siblings: Tom Persson",1975.0,2016.0
303,Richard K. Davis,490,1958 (age 62 years),,"California State University, Fullerton (1983)",1958.0,2016.0
304,Jacques van den Broek,494,"May 24, 1960 (age 59 years), Goes, Netherlands",Netherlands,Tilburg University,1960.0,2016.0
305,Wan Long,495,1940 (age 80 years),,,1940.0,2016.0
306,Bill Winters,498,"September 1961 (age 58 years), Connecticut",Connecticut,"Wharton School of the University of Pennsylvania, Colgate University",1961.0,2016.0
307,Bruce Hemphill,500,"June 1963 (age 56 years), Durban, South Africa",Africa,,1963.0,2016.0
