id,Revenues_$M,Profits_$M,Assets_$M,Employees,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
289,"39,669.5","2,049","927,584.1","45,800",5.2%,0.2%,4.6%,Credit Suisse Group,2015
290,"39,363.8","2,250.5","174,211.2","33,786",5.7%,1.3%,18%,Tokio Marine Holdings,2015
291,"39,318.8","2,134.6","33,854.1","129,249",5.4%,6.3%,13.9%,Mitsubishi Electric,2015
292,"39,289.2","1,020.1","178,219","19,819",2.6%,0.6%,10.5%,Talanx,2015
293,"39,198.3","2,350","44,060.2","146,714",6%,5.3%,8.5%,Denso,2015
294,"38,901","1,132","37,353","84,000",2.9%,3%,47.2%,United Continental Holdings,2015
295,"38,793","2,294.9","487,045.4","28,012",5.9%,0.5%,14.9%,DZ Bank,2015
296,"38,683.8","7,632.3","676,325.6","43,654",19.7%,1.1%,18.2%,Shanghai Pudong Devel. Bank,2015
297,"38,680.4","1,602","249,664.3","11,563",4.1%,0.6%,8.6%,New York Life Insurance,2015
298,"38,601.7","1,201.6","326,207.6","25,500",3.1%,0.4%,11.6%,Power Corp. of Canada,2015
299,"38,544.9","8,261.1","834,338.7","73,498",21.4%,1%,17.7%,Royal Bank of Canada,2015
300,"38,275","10,955","90,344","122,000",28.6%,12.1%,23.4%,Oracle,2015
301,"38,254.7",-267.1,"24,546.5","107,400",-0.7%,-1.1%,-3.2%,Sainsbury’s,2015
302,"38,235.6",-642.2,"17,676.2","4,243",-1.7%,-3.6%,-8.7%,GS Caltex,2015
303,"38,054.2","-4,561.5","1,638,233.6","108,700",-12%,-0.3%,-5.1%,Royal Bank of Scotland Group,2015
304,"37,986.2",38.5,"45,917.1","67,151",0.1%,0.1%,0.5%,Bohai Steel Group,2015
305,"37,956.6",811.2,"10,545","80,000",2.1%,7.7%,20.5%,Alimentation Couche-Tard,2015
306,"37,953","3,467","801,510","55,802",9.1%,0.4%,4.9%,Morgan Stanley,2015
307,"37,926.5","-1,254.8","22,775.4","8,829",-3.3%,-5.5%,-38.4%,Idemitsu Kosan,2015
308,"37,883.8","3,942.9","1,069,536.9","60,155",10.4%,0.4%,7.7%,UBS Group,2015
309,"37,871.5","4,536.8","63,378.5","97,921",12%,7.2%,68.3%,GlaxoSmithKline,2015
310,"37,822.4",281.2,"192,328.3","143,003",0.7%,0.1%,2.8%,Poste Italiane,2015
311,"37,580",864,"23,956","124,000",2.3%,3.6%,9.7%,Tyson Foods,2015
312,"37,539",657,"116,489","76,531",1.8%,0.6%,1.2%,Vale,2015
313,"37,347","3,500","204,461","12,224",9.4%,1.7%,9.7%,Swiss Re,2015
314,"37,337.7",329,"7,496.3","336,100",0.9%,4.4%,17.7%,Edeka Zentrale,2015
315,"37,201",-351.5,"30,614.4","147,970",-0.9%,-1.1%,-12.8%,Jizhong Energy Group,2015
316,"37,000","-1,113.9","26,383.1","14,787",-3%,-4.2%,-18.2%,CPC,2015
317,"36,664.8","2,444","68,794.6","13,980",6.7%,3.6%,6.8%,Suncor Energy,2015
318,"36,641","1,882","18,139","131,225",5.1%,10.4%,21.7%,Magna International,2015
319,"36,309","1,004.2","46,037.5","81,845",2.8%,2.2%,7.5%,Mitsubishi Heavy Industries,2015
320,"36,256.7",431.8,"182,575.4","33,672",1.2%,0.2%,2.9%,Nationwide,2015
321,"36,178",94.2,"6,242.5","11,181",0.3%,1.5%,5.2%,China National Aviation Fuel Group,2015
322,"36,138.7",802.6,"51,055.1","245,763",2.2%,1.6%,9.8%,SNCF,2015
323,"36,066.9","3,161.7","61,336.4","59,623",8.8%,5.2%,34.9%,Deere,2015
324,"36,046","3,625","49,876","63,000",10.1%,7.3%,27.2%,DuPont,2015
325,"35,999","5,885","159,103","54,000",16.3%,3.7%,28.5%,American Express,2015
326,"35,807.5",280.6,"54,602.7","149,987",0.8%,0.5%,7.4%,China Metallurgical Group,2015
327,"35,724.2",245.1,"13,702.1","10,634",0.7%,1.8%,11%,Hindustan Petroleum,2015
328,"35,669.8","1,793.2","132,994.8","90,829",5%,1.3%,9.5%,China Pacific Insurance,2015
329,"35,574.9",-346.2,"112,542.5","34,828",-1%,-0.3%,-8.7%,Hanwha,2015
330,"35,549.9","6,955.8","674,402.4","36,373",19.6%,1%,16.4%,Westpac Banking,2015
331,"35,545.7",18.6,"112,770.7","16,556",0.1%,-,0.2%,Achmea,2015
332,"35,411.5",424.8,"42,558.7","3,349",1.2%,1%,4.8%,Korea Gas,2015
333,"35,239","2,850","108,533","39,950",8.1%,2.6%,12.8%,Allstate,2015
334,"35,215","2,407.3","37,209","191,889",6.8%,6.5%,9.7%,Canon,2015
335,"35,107.6",828,"317,429.1","8,335",2.4%,0.3%,11.4%,Standard Life,2015
336,"35,097.1","8,660.2","113,928.4","280,000",24.7%,7.6%,14.4%,Hutchison Whampoa,2015
337,"35,019.7","1,267.5","38,690.8","58,856",3.6%,3.3%,9%,JFE Holdings,2015
338,"34,914","2,102","55,896","37,200",6%,3.8%,19.5%,Cigna,2015
339,"34,810.5",144.2,"9,955.1","17,055",0.4%,1.4%,8.1%,Zhejiang Materials Industry Group,2015
340,"34,711.5","2,840","33,040.6","144,632",8.2%,8.6%,16.7%,Bridgestone,2015
341,"34,704.2",-452.4,"35,622.3","167,030",-1.3%,-1.3%,-13.1%,Datong Coal Mine Group,2015
342,"34,699.4",561,"8,392.3","21,568",1.6%,6.7%,18.9%,CEFC China Energy,2015
343,"34,627.4",488.5,"126,877.4","128,299",1.4%,0.4%,6.3%,China Guodian,2015
344,"34,497.9",439,"18,943.4","67,897",1.3%,2.3%,10.5%,Xinxing Cathay International,2015
345,"34,487.7","1,080.7","117,112","110,300",3.1%,0.9%,15.4%,China Huadian,2015
346,"34,438.9","3,752.5","59,865.8","11,069",10.9%,6.3%,13%,Ecopetrol,2015
347,"34,366.9","3,250.5","35,588.6","22,842",9.5%,9.1%,15.4%,Hyundai Mobis,2015
348,"34,244","2,184","66,815","104,000",6.4%,3.3%,7.9%,Mondelez International,2015
349,"34,230.3",966.7,"526,048.4","12,322",2.8%,0.2%,2.9%,TIAA-CREF,2015
350,"34,218.2",-665.5,"75,234.5","75,448",-1.9%,-0.9%,-3.2%,Sumitomo,2015
351,"34,088.6","1,272.3","62,910.8","8,882",3.7%,2%,8.8%,Enbridge,2015
352,"34,063.3",19.3,"3,039.7","1,141",0.1%,0.6%,5.6%,INTL FCStone,2015
353,"33,866.4","-1,842.1","13,160.5","20,305",-5.4%,-14%,-34.8%,PKN ORLEN Group,2015
354,"33,778.2",52.8,"18,148.8","27,082",0.2%,0.3%,1.6%,Jiangxi Copper,2015
355,"33,652.5",483.7,"14,465","196,251",1.4%,3.3%,11.4%,Pegatron,2015
356,"33,572.4","1,326.9","253,858.2","11,418",4%,0.5%,9.3%,Massachusetts Mutual Life,2015
357,"33,309.7","7,134.4","838,057.3","81,137",21.4%,0.9%,14.7%,Toronto-Dominion Bank,2015
358,"33,290.4",-149,"27,659.6","98,110",-0.4%,-0.5%,-5.4%,Shanxi LuAn Mining Group,2015
359,"33,262.7","1,790.8","86,571.1","82,441",5.4%,2.1%,8.2%,Telecom Italia,2015
360,"33,260","2,756","25,459","30,925",8.3%,10.8%,-,DirecTV,2015
361,"33,254.5",553.5,"36,052.4","68,263",1.7%,1.5%,7.6%,Mitsubishi Chemical Holdings,2015
362,"33,237.4",284.2,"26,277.1","63,405",0.9%,1.1%,8.6%,Guangzhou Automobile Industry Group,2015
363,"33,220.8","1,685.6","37,519.7","118,443",5.1%,4.5%,9.1%,Ericsson,2015
364,"33,163.7",-419.8,"44,296.9","239,625",-1.3%,-0.9%,-11.8%,Henan Energy & Chemical,2015
365,"33,120.8",-262.7,"28,106.5","94,666",-0.8%,-0.9%,-,Air France-KLM Group,2015
366,"33,084.9",228.7,"37,768.7","125,771",0.7%,0.6%,4.9%,China Electronics,2015
367,"33,082.3","2,574.8","49,797.9","167,124",7.8%,5.2%,10.8%,Schneider Electric,2015
368,"32,905","6,689","675,496.1","50,328",20.3%,1%,15.5%,Australia & New Zeal. Bnkg.,2015
369,"32,870","3,500","32,240","80,000",10.6%,10.9%,21.5%,Halliburton,2015
370,"32,821","1,939.4","60,892.9","21,961",5.9%,3.2%,11.3%,Gas Natural Fenosa,2015
371,"32,732.6","1,087.2","66,526.9","177,106",3.3%,1.6%,6.3%,China Shipbuilding Industry,2015
372,"32,585.1","1,140.1","229,261.1","42,115",3.5%,0.5%,13.1%,Sumitomo Life Insurance,2015
373,"32,551.9",-170.7,"36,670.8","208,829",-0.5%,-0.5%,-2.2%,Shandong Energy Group,2015
374,"31,875","2,941.5","17,930.5","305,000",9.2%,16.4%,51.3%,Accenture,2015
375,"31,867","4,514","54,793","27,000",14.2%,8.2%,25.9%,Twenty-First Century Fox,2015
376,"31,831.8",326.5,"42,013.9","160,180",1%,0.8%,3.3%,Veolia Environnement,2015
377,"31,821","4,956","31,269","89,800",15.6%,15.8%,37.8%,3M,2015
378,"31,533.7","-3,519.3","79,790.8","93,942",-11.2%,-4.4%,-33.3%,CFE,2015
379,"31,504.9",102.7,"33,879","145,646",0.3%,0.3%,2.6%,Shanxi Jincheng Anthracite Coal Mining,2015
380,"31,391","1,085.3","43,077.7","141,085",3.5%,2.5%,7.3%,Shaanxi Yanchang Petroleum,2015
381,"31,376.3","1,239.2","27,358","85,517",3.9%,4.5%,14.2%,Koç Holding,2015
382,"31,317.8",-2.3,"36,212.1","118,171",-,-,-,Jinneng Group,2015
383,"31,198","-1,682","13,209","196,000",-5.4%,-12.7%,-,Sears Holdings,2015
384,"30,978.5","-1,349.5","64,576.6","33,539",-4.4%,-2.1%,-16.7%,Kansai Electric Power,2015
385,"30,876.3",550.5,"34,303.7","113,678",1.8%,1.6%,4.2%,Royal Philips,2015
386,"30,852","2,533","35,355","99,500",8.2%,7.2%,21.4%,General Dynamics,2015
387,"30,816.6","1,415.4","48,272.2","216,275",4.6%,2.9%,12.5%,Fresenius,2015
388,"30,802.5","1,735.3","15,083.5","175,000",5.6%,11.5%,15.4%,Publix Super Markets,2015
389,"30,569.6",623.2,"19,234.6","120,370",2%,3.2%,14.9%,Quanta Computer,2015
390,"30,456.3",-12.3,"19,363.9","46,716",-,-0.1%,-0.6%,China Nonferrous Metal Mining,2015
391,"30,322.1",389,"36,753.8","174,755",1.3%,1.1%,7.7%,China Energy Engineering,2015
392,"30,206.9",11.7,"116,112.7","100,082",-,-,0.2%,China Datang,2015
393,"30,132.8",299.2,"14,969.8","6,507",1%,2%,3.9%,Formosa Petrochemical,2015
394,"29,943.8",822.4,"824,060.5","48,254",2.7%,0.1%,2.7%,Rabobank,2015
395,"29,889.4","6,513.5","38,793.7","78,611",21.8%,16.8%,26.7%,L’Oreal,2015
396,"29,853.5",493.6,"85,509.4","36,086",1.7%,0.6%,8%,Sompo Japan Nipponkoa,2015
397,"29,825.4",970.1,"61,740.5","74,262",3.3%,1.6%,6%,Migros Group,2015
398,"29,767","7,493","35,187","82,500",25.2%,21.3%,-,Philip Morris International,2015
399,"29,733","1,121.1","81,345.3","37,053",3.8%,1.4%,10.1%,Mapfre Group,2015
400,"29,727.3",-478.2,"11,952.4","61,539",-1.6%,-4%,-23.4%,Kailuan Group,2015
401,"29,684.4",513.6,"17,556.9","66,125",1.7%,2.9%,6.7%,Coop Group,2015
402,"29,668.9",3.3,"66,709.3","139,422",-,-,-,Shougang Group,2015
403,"29,584.7",234,"109,669.3","127,611",0.8%,0.2%,3.3%,China Power Investment,2015
404,"29,546.8",106.3,"203,689.2","101,072",0.4%,0.1%,0.6%,VTB Bank,2015
405,"29,526",291.6,"8,709.7","24,153",1%,3.3%,11.5%,Phoenix Pharmahandel,2015
406,"29,520.2",255.1,"107,232.1","13,563",0.9%,0.2%,3.7%,Unipol,2015
407,"29,482.1",118.1,"14,672.7","114,373",0.4%,0.8%,1.8%,Delhaize Group,2015
408,"29,399.9",680.5,"273,882.6","257,890",2.3%,0.2%,6.2%,La Poste,2015
409,"29,397.5",-10,"29,470.1","155,566",-,-,-0.5%,Yangquan Coal Industry Group,2015
410,"29,078.4","2,215.1","11,128.4","198,000",7.6%,19.9%,51.9%,TJX,2015
411,"28,928.8","3,435.3","40,360.7","88,500",11.9%,8.5%,286.4%,BT Group,2015
412,"28,924.7","5,565.7","1,581,892.7","54,784",19.2%,0.4%,10.9%,Mizuho Financial Group,2015
413,"28,923.7","6,293.1","43,240.2","33,558",21.8%,14.6%,23%,Vivendi,2015
414,"28,774.6",527.4,"7,331.2","13,973",1.8%,7.2%,18.2%,Ultrapar Holdings,2015
415,"28,774","3,827","63,259","25,600",13.3%,6%,15.6%,Time Warner,2015
416,"28,665.6",-301,"64,803.5","136,198",-1.1%,-0.5%,-5%,Shaanxi Coal & Chemical Industry,2015
417,"28,606.6","6,487.6","714,686.4","86,932",22.7%,0.9%,15.3%,Bank of Nova Scotia,2015
418,"28,247.7","1,432.4","14,093","514,718",5.1%,10.2%,48.1%,Compass Group,2015
419,"28,227.8",352.8,"46,968.3","30,848",1.3%,0.8%,3%,Chubu Electric Power,2015
420,"28,155.3","1,475.1","476,719.4","54,000",5.2%,0.3%,11.1%,China Everbright Group,2015
421,"28,105","1,526","21,461","166,900",5.4%,7.1%,28.4%,Macy’s,2015
422,"28,048.1","1,484.4","38,411.4","99,927",5.3%,3.9%,10.5%,Danone,2015
423,"27,909.1",232.1,"11,985.8","64,473",0.8%,1.9%,7.3%,Compal Electronics,2015
424,"27,860.4",-597.9,"46,354.6","18,524",-2.1%,-1.3%,-14.4%,Energie Baden-Württemberg,2015
425,"27,799","2,693","18,594","56,500",9.7%,14.5%,24.9%,Nike,2015
426,"27,670.9",475.7,"21,393.1","40,450",1.7%,2.2%,8.6%,China General Technology,2015
427,"27,670.6",175.2,"6,138.2","8,900",0.6%,2.9%,8.9%,Tech Data,2015
428,"27,655.4",-132,"11,479.9","3,512",-0.5%,-1.2%,-5.8%,TonenGeneral Sekiyu,2015
429,"27,593.9","1,444.4","20,626.2","44,035",5.2%,7%,23.2%,Mazda Motor,2015
430,"27,499.7",545.6,"11,255.5","19,000",2%,4.8%,11.2%,Avnet,2015
431,"27,483.5","-1,243.8","13,772.3","85,545",-4.5%,-9%,-23%,Morrisons,2015
432,"27,483",541.6,"57,875.2","75,675",2%,0.9%,2.9%,China Ocean Shipping,2015
433,"27,465",679,"229,933","5,187",2.5%,0.3%,3.6%,Northwestern Mutual,2015
434,"27,441.3","4,757.8","34,281.4","420,000",17.3%,13.9%,37%,McDonald’s,2015
435,"27,429","1,623","86,814","28,993",5.9%,1.9%,7.2%,Exelon,2015
436,"27,426.2",881,"27,127","57,409",3.2%,3.2%,7.7%,Suzuki Motor,2015
437,"27,190.4","1,431.6","53,018.1","158,067",5.3%,2.7%,7.7%,China Aerospace Science & Technology,2015
438,"27,162","3,692","103,078","30,200",13.6%,3.6%,14.9%,Travelers,2015
439,"27,122.7",-273.4,"9,331.9","2,796",-1%,-2.9%,-6.1%,S-Oil,2015
440,"27,073","-2,513","66,010","95,000",-9.3%,-3.8%,-9.5%,Anglo American,2015
441,"27,016.3",257.3,"26,847.9","8,663",1%,1%,2.1%,Samsung C&T,2015
442,"26,957.8",703.2,"24,436.7","94,748",2.6%,2.9%,9.3%,Aisin Seiki,2015
443,"26,756.1","1,302.7","28,617.1","59,484",4.9%,4.6%,30.9%,International Airlines Group,2015
444,"26,699.1",521.2,"21,855.2","98,882",2%,2.4%,8.3%,NEC,2015
445,"26,687.7",500.2,"36,462.5","27,880",1.9%,1.4%,3.3%,Lotte Shopping,2015
446,"26,530.6",846.3,"11,421.7","31,576",3.2%,7.4%,18.2%,Adecco Group,2015
447,"26,528.4","2,109.2","8,863.3","69,865",8%,23.8%,-,Rite Aid,2015
448,"26,487","7,967","48,574","31,300",30.1%,16.4%,20.3%,Qualcomm,2015
449,"26,311.4","2,998.1","53,962.3","33,185",11.4%,5.6%,10.4%,Oil & Natural Gas,2015
450,"26,221",555,"28,684","58,000",2.1%,1.9%,10.9%,International Paper,2015
451,"26,212.9","-1,297.7","51,133.3","218,900",-5%,-2.5%,-13.1%,Ansteel Group,2015
452,"26,175.1","2,381.8","18,344.7","29,774",9.1%,13%,28.3%,Fuji Heavy Industries,2015
453,"26,147.9",600.8,"11,665.6","150,000",2.3%,5.2%,25.4%,Flextronics International,2015
454,"26,129.6",215.4,"12,132.4","14,637",0.8%,1.8%,7.3%,Medipal Holdings,2015
455,"26,095","1,233","58,595","57,500",4.7%,2.1%,6.3%,AstraZeneca,2015
456,"26,048.4","1,270.3","195,117.1","5,481",4.9%,0.7%,6.3%,Samsung Life Insurance,2015
457,"26,046.6","1,020.5","88,798.9","61,726",3.9%,1.1%,13.9%,China Poly Group,2015
458,"25,937.6","1,367.7","27,130.1","106,696",5.3%,5%,11.9%,Michelin,2015
459,"25,898",616,"56,259","11,700",2.4%,1.1%,1.8%,Occidental Petroleum,2015
460,"25,868.4",47.8,"4,533.6",179,0.2%,1.1%,18.3%,GasTerra,2015
461,"25,674","1,089.3","24,399.8","240,798",4.2%,4.5%,11%,Sumitomo Electric Industries,2015
462,"25,673","1,883","120,709","28,344",7.3%,1.6%,4.6%,Duke Energy,2015
463,"25,668.4","1,008.2","42,141.6","76,136",3.9%,2.4%,13.6%,Heineken Holding,2015
464,"25,646.4",206.9,"79,898.5","113,089",0.8%,0.3%,5.7%,HNA Group,2015
465,"25,563.9","1,065.3","25,194","34,903",4.2%,4.2%,12.9%,Daiwa House Industry,2015
466,"25,479.2",958.1,"222,195.2","61,583",3.8%,0.4%,8.3%,Old Mutual,2015
467,"25,433","3,450","166,919","20,000",13.6%,2.1%,11.2%,AIA Group,2015
468,"25,400.2","1,218.2","30,851.3","76,000",4.8%,3.9%,42.4%,BAE Systems,2015
469,"25,385.9",142,"17,716.6","77,309",0.6%,0.8%,4.7%,TUI,2015
470,"25,341.5","-2,022.3","16,361.5","49,096",-8%,-12.4%,-208.2%,Sharp,2015
471,"25,322.8","1,048.7","148,900.7","31,239",4.1%,0.7%,10.2%,Cathay Life Insurance,2015
472,"25,173.5","8,392.2","47,305.5","43,591",33.3%,17.7%,25.9%,Taiwan Semiconductor,2015
473,"25,126.3",858.8,"20,898.1","49,421",3.4%,4.1%,8.3%,LG Display,2015
474,"25,116",17.4,"2,742.8",518,0.1%,0.6%,8.4%,Greenergy Fuels Holdings,2015
475,"25,087.3",772,"26,638.8","75,706",3.1%,2.9%,6.3%,CRH,2015
476,"25,067.8","1,640.7","63,428.3","86,986",6.5%,2.6%,8.9%,East Japan Railway,2015
477,"24,986.4",275.5,"20,975.7","42,968",1.1%,1.3%,13.4%,Zhejiang Geely Holding Group,2015
478,"24,890","12,101","34,664","7,000",48.6%,34.9%,78.4%,Gilead Sciences,2015
479,"24,787","2,613","725,914","90,940",10.5%,0.4%,5.6%,Standard Chartered,2015
480,"24,686.9",989,"48,760.8","48,068",4%,2%,7.4%,Perusahaan Listrik Negara,2015
481,"24,640.4","3,923.5","37,142.6","31,931",15.9%,10.6%,30.1%,Telstra,2015
482,"24,564.9",-906.1,"35,688.4","90,365",-3.7%,-2.5%,-20.4%,Alstom,2015
483,"24,551","1,719","28,827","62,000",7%,6%,9.2%,Baker Hughes,2015
484,"24,537","2,147","24,177","115,100",8.8%,8.9%,21.2%,Emerson Electric,2015
485,"24,512.4",666.7,"19,070.1","419,317",2.7%,3.5%,15.9%,Sodexo,2015
486,"24,458.9","3,248.6","81,770.8","24,274",13.3%,4%,18.3%,National Grid,2015
487,"24,440","2,714","45,885","70,000",11.1%,5.9%,12.4%,EMC,2015
488,"24,428",859.6,"16,198.4","71,402",3.5%,5.3%,16.3%,ZF Friedrichshafen,2015
489,"24,276.8",575.7,"322,117.4","11,117",2.4%,0.2%,3.6%,Landesbank Baden-Württemberg,2015
490,"24,219",-115,"28,936","192,000",-0.5%,-0.4%,-14.3%,Onex,2015
491,"24,180.8","-1,191.7","63,449.2","30,181",-4.9%,-1.9%,-8.1%,Vattenfall,2015
492,"24,032.7","3,409.6","130,253.2","27,635",14.2%,2.6%,12.8%,United Services Auto. Assn.,2015
493,"23,988","5,180","52,716","47,201",21.6%,9.8%,24.4%,Union Pacific,2015
494,"23,979","2,069","26,572","64,300",8.6%,7.8%,28.6%,Northrop Grumman,2015
495,"23,906",268,"37,399","59,000",1.1%,0.7%,2.2%,Alcoa,2015
496,"23,877","4,428","308,854","46,000",18.5%,1.4%,9.8%,Capital One Financial,2015
497,"23,846.5",509.2,"22,523.7","24,031",2.1%,2.3%,8.1%,AntarChile,2015
498,"23,785.3",113.6,"34,649.2","54,100",0.5%,0.3%,1.1%,Rolls-Royce Holdings,2015
499,"23,734.6",-707,"11,914.2","6,359",-3%,-5.9%,-64.2%,Cosmo Oil,2015
500,"23,720.9",54.5,"34,447","103,594",0.2%,0.2%,0.7%,Wuhan Iron & Steel,2015
