,rank,company,revenue % change,profits($M),profits % change,assets($M),employees,year
336,337,JFE Holdings,-4.3%,"1,267.5",24.0%,"38,690.8","58,856",2015
337,338,Cigna,7.8%,"2,102",42.4%,"55,896","37,200",2015
338,339,Zhejiang Materials Industry Group,0.9%,144.2,143.6%,"9,955.1","17,055",2015
339,340,Bridgestone,-5.1%,"2,840",37.1%,"33,040.6","144,632",2015
340,341,Datong Coal Mine Group,6.9%,-452.4,-,"35,622.3","167,030",2015
341,342,CEFC China Energy,1.7%,561,62.4%,"8,392.3","21,568",2015
342,343,China Guodian,-8.5%,488.5,-14.5%,"126,877.4","128,299",2015
343,344,Xinxing Cathay International,5.2%,439,13.8%,"18,943.4","67,897",2015
344,345,China Huadian,6.0%,"1,080.7",35.0%,"117,112","110,300",2015
345,346,Ecopetrol,-8.6%,"3,752.5",-46.5%,"59,865.8","11,069",2015
346,347,Hyundai Mobis,10.0%,"3,250.5",4.0%,"35,588.6","22,842",2015
347,348,Mondelez International,-3.0%,"2,184",-44.2%,"66,815","104,000",2015
348,349,TIAA-CREF,1.2%,966.7,-43.9%,"526,048.4","12,322",2015
349,350,Sumitomo,3.3%,-665.5,-129.9%,"75,234.5","75,448",2015
350,351,Enbridge,6.6%,"1,272.3",108.4%,"62,910.8","8,882",2015
351,352,INTL FCStone,-22.2%,19.3,-,"3,039.7","1,141",2015
352,353,PKN ORLEN Group,-6.0%,"-1,842.1",-3406.7%,"13,160.5","20,305",2015
353,354,Jiangxi Copper,6.8%,52.8,-43.1%,"18,148.8","27,082",2015
354,355,Pegatron,5.2%,483.7,50.3%,"14,465","196,251",2015
355,356,Massachusetts Mutual Life,0.7%,"1,326.9",586.1%,"253,858.2","11,418",2015
356,357,Toronto-Dominion Bank,0.5%,"7,134.4",11.0%,"838,057.3","81,137",2015
357,358,Shanxi LuAn Mining Group,3.0%,-149,-,"27,659.6","98,110",2015
358,359,Telecom Italia,-8.9%,"1,790.8",-,"86,571.1","82,441",2015
359,360,DirecTV,4.7%,"2,756",-3.6%,"25,459","30,925",2015
360,361,Mitsubishi Chemical Holdings,-4.8%,553.5,72.0%,"36,052.4","68,263",2015
361,362,Guangzhou Automobile Industry Group,1.4%,284.2,36.7%,"26,277.1","63,405",2015
362,363,Ericsson,-4.9%,"1,685.6",-8.6%,"37,519.7","118,443",2015
363,364,Henan Energy & Chemical,-7.3%,-419.8,-,"44,296.9","239,625",2015
364,365,Air France-KLM Group,-2.8%,-262.7,-,"28,106.5","94,666",2015
365,366,China Electronics,5.0%,228.7,-19.0%,"37,768.7","125,771",2015
366,367,Schneider Electric,5.8%,"2,574.8",2.7%,"49,797.9","167,124",2015
367,368,Australia & New Zeal. Bnkg.,-3.4%,"6,689",7.4%,"675,496.1","50,328",2015
368,369,Halliburton,11.8%,"3,500",64.7%,"32,240","80,000",2015
369,370,Gas Natural Fenosa,-1.0%,"1,939.4",1.1%,"60,892.9","21,961",2015
370,371,China Shipbuilding Industry,7.4%,"1,087.2",-6.1%,"66,526.9","177,106",2015
371,372,Sumitomo Life Insurance,-5.7%,"1,140.1",-6.9%,"229,261.1","42,115",2015
372,373,Shandong Energy Group,-12.9%,-170.7,-176.5%,"36,670.8","208,829",2015
373,374,Accenture,5.0%,"2,941.5",-10.4%,"17,930.5","305,000",2015
374,375,Twenty-First Century Fox,-12.9%,"4,514",-36.4%,"54,793","27,000",2015
375,376,Veolia Environnement,3.8%,326.5,-,"42,013.9","160,180",2015
376,377,3M,3.1%,"4,956",6.4%,"31,269","89,800",2015
377,378,CFE,-0.4%,"-3,519.3",-,"79,790.8","93,942",2015
378,379,Shanxi Jincheng Anthracite Coal Mining,0.6%,102.7,-39.4%,"33,879","145,646",2015
379,380,Shaanxi Yanchang Petroleum,11.5%,"1,085.3",-31.3%,"43,077.7","141,085",2015
380,381,Koç Holding,-9.7%,"1,239.2",-11.9%,"27,358","85,517",2015
381,382,Jinneng Group,-15.6%,-2.3,-,"36,212.1","118,171",2015
382,383,Sears Holdings,-13.8%,"-1,682",-,"13,209","196,000",2015
383,384,Kansai Electric Power,-6.7%,"-1,349.5",-,"64,576.6","33,539",2015
384,385,Royal Philips,-4.8%,550.5,-64.5%,"34,303.7","113,678",2015
385,386,General Dynamics,-1.2%,"2,533",7.5%,"35,355","99,500",2015
386,387,Fresenius,14.2%,"1,415.4",5.5%,"48,272.2","216,275",2015
387,388,Publix Super Markets,5.7%,"1,735.3",4.9%,"15,083.5","175,000",2015
388,389,Quanta Computer,3.1%,623.2,-0.6%,"19,234.6","120,370",2015
389,390,China Nonferrous Metal Mining,-1.4%,-12.3,-,"19,363.9","46,716",2015
390,391,China Energy Engineering,17.7%,389,51.7%,"36,753.8","174,755",2015
391,392,China Datang,-2.5%,11.7,-94.1%,"116,112.7","100,082",2015
392,393,Formosa Petrochemical,-4.0%,299.2,-66.9%,"14,969.8","6,507",2015
393,394,Rabobank,-12.8%,822.4,-33.3%,"824,060.5","48,254",2015
394,395,L'Oreal,-2.0%,"6,513.5",65.9%,"38,793.7","78,611",2015
395,396,Sompo Japan Nipponkoa,-0.6%,493.6,12.0%,"85,509.4","36,086",2015
396,397,Migros Group,3.4%,970.1,14.7%,"61,740.5","74,262",2015
397,398,Philip Morris International,-4.6%,"7,493",-12.6%,"35,187","82,500",2015
398,399,Mapfre Group,1.6%,"1,121.1",6.8%,"81,345.3","37,053",2015
399,400,Kailuan Group,-4.3%,-478.2,-,"11,952.4","61,539",2015
400,401,Coop Group,2.0%,513.6,3.0%,"17,556.9","66,125",2015
401,402,Shougang Group,-13.5%,3.3,-,"66,709.3","139,422",2015
402,403,China Power Investment,-4.8%,234,-49.8%,"109,669.3","127,611",2015
403,404,VTB Bank,9.4%,106.3,-96.7%,"203,689.2","101,072",2015
404,405,Phoenix Pharmahandel,1.9%,291.6,337.4%,"8,709.7","24,153",2015
405,406,Unipol,7.9%,255.1,-,"107,232.1","13,563",2015
406,407,Delhaize Group,-1.1%,118.1,-50.3%,"14,672.7","114,373",2015
407,408,La Poste,-10.7%,680.5,-18.2%,"273,882.6","257,890",2015
408,409,Yangquan Coal Industry Group,-5.8%,-10,-,"29,470.1","155,566",2015
409,410,TJX,6.0%,"2,215.1",3.6%,"11,128.4","198,000",2015
410,411,BT Group,-0.4%,"3,435.3",7.2%,"40,360.7","88,500",2015
411,412,Mizuho Financial Group,-1.0%,"5,565.7",-19.0%,"1,581,892.7","54,784",2015
412,413,Vivendi,-19.4%,"6,293.1",141.0%,"43,240.2","33,558",2015
413,414,Ultrapar Holdings,1.9%,527.4,-7.1%,"7,331.2","13,973",2015
414,415,Time Warner,-3.4%,"3,827",3.7%,"63,259","25,600",2015
415,416,Shaanxi Coal & Chemical Industry,16.9%,-301,-,"64,803.5","136,198",2015
416,417,Bank of Nova Scotia,0.3%,"6,487.6",3.0%,"714,686.4","86,932",2015
417,418,Compass Group,3.1%,"1,432.4",114.0%,"14,093","514,718",2015
418,419,Chubu Electric Power,-0.5%,352.8,-,"46,968.3","30,848",2015
419,420,China Everbright Group,19.7%,"1,475.1",392.1%,"476,719.4","54,000",2015
420,421,Macy's,0.6%,"1,526",2.7%,"21,461","166,900",2015
421,422,Danone,-0.8%,"1,484.4",-21.4%,"38,411.4","99,927",2015
422,423,Compal Electronics,19.6%,232.1,179.3%,"11,985.8","64,473",2015
423,424,Energie Baden-Württemberg,2.2%,-597.9,-983.0%,"46,354.6","18,524",2015
424,425,Nike,7.6%,"2,693",8.4%,"18,594","56,500",2015
425,426,China General Technology,7.7%,475.7,6.5%,"21,393.1","40,450",2015
426,427,Tech Data,3.2%,175.2,-2.6%,"6,138.2","8,900",2015
427,428,TonenGeneral Sekiyu,-0.4%,-132,-156.2%,"11,479.9","3,512",2015
428,429,Mazda Motor,2.7%,"1,444.4",6.6%,"20,626.2","44,035",2015
429,430,Avnet,8.0%,545.6,21.2%,"11,255.5","19,000",2015
430,431,Morrisons,-0.8%,"-1,243.8",-,"13,772.3","85,545",2015
431,432,China Ocean Shipping,2.5%,541.6,-,"57,875.2","75,675",2015
432,433,Northwestern Mutual,1.8%,679,-15.3%,"229,933","5,187",2015
433,434,McDonald's,-2.4%,"4,757.8",-14.8%,"34,281.4","420,000",2015
434,435,Exelon,10.2%,"1,623",-5.6%,"86,814","28,993",2015
435,436,Suzuki Motor,-6.5%,881,-17.9%,"27,127","57,409",2015
436,437,China Aerospace Science & Technology,17.5%,"1,431.6",5.6%,"53,018.1","158,067",2015
437,438,Travelers,3.7%,"3,692",0.5%,"103,078","30,200",2015
438,439,S-Oil,-4.7%,-273.4,-203.3%,"9,331.9","2,796",2015
439,440,Anglo American,-7.7%,"-2,513",-,"66,010","95,000",2015
440,441,Samsung C&T,4.0%,257.3,16.1%,"26,847.9","8,663",2015
441,442,Aisin Seiki,-4.3%,703.2,-21.8%,"24,436.7","94,748",2015
442,443,International Airlines Group,8.5%,"1,302.7",704.3%,"28,617.1","59,484",2015
443,444,NEC,-12.1%,521.2,54.7%,"21,855.2","98,882",2015
444,445,Lotte Shopping,3.5%,500.2,-30.6%,"36,462.5","27,880",2015
445,446,Adecco Group,2.5%,846.3,14.5%,"11,421.7","31,576",2015
446,447,Rite Aid,3.9%,"2,109.2",745.7%,"8,863.3","69,865",2015
447,448,Qualcomm,6.5%,"7,967",16.3%,"48,574","31,300",2015
448,449,Oil & Natural Gas,-8.8%,"2,998.1",-31.6%,"53,962.3","33,185",2015
449,450,International Paper,-9.8%,555,-60.2%,"28,684","58,000",2015
450,451,Ansteel Group,3.9%,"-1,297.7",-,"51,133.3","218,900",2015
451,452,Fuji Heavy Industries,8.9%,"2,381.8",15.5%,"18,344.7","29,774",2015
452,453,Flextronics International,0.2%,600.8,64.3%,"11,665.6","150,000",2015
453,454,Medipal Holdings,-11.2%,215.4,-15.3%,"12,132.4","14,637",2015
454,455,AstraZeneca,1.5%,"1,233",-51.8%,"58,595","57,500",2015
455,456,Samsung Life Insurance,-0.5%,"1,270.3",52.6%,"195,117.1","5,481",2015
456,457,China Poly Group,21.5%,"1,020.5",-1.4%,"88,798.9","61,726",2015
457,458,Michelin,-3.5%,"1,367.7",-8.6%,"27,130.1","106,696",2015
458,459,Occidental Petroleum,0.6%,616,-89.6%,"56,259","11,700",2015
459,460,GasTerra,-19.8%,47.8,-0.1%,"4,533.6",179,2015
460,461,Sumitomo Electric Industries,0.1%,"1,089.3",63.5%,"24,399.8","240,798",2015
461,462,Duke Energy,4.4%,"1,883",-29.3%,"120,709","28,344",2015
462,463,Heineken Holding,-0.5%,"1,008.2",11.2%,"42,141.6","76,136",2015
463,464,HNA Group,36.4%,206.9,26.4%,"79,898.5","113,089",2015
464,465,Daiwa House Industry,-5.2%,"1,065.3",4.5%,"25,194","34,903",2015
465,466,Old Mutual,-17.7%,958.1,-13.1%,"222,195.2","61,583",2015
466,467,AIA Group,16.0%,"3,450",22.3%,"166,919","20,000",2015
467,468,BAE Systems,-3.6%,"1,218.2",363.9%,"30,851.3","76,000",2015
468,469,TUI,4.7%,142,2417.7%,"17,716.6","77,309",2015
469,470,Sharp,-13.3%,"-2,022.3",-1852.7%,"16,361.5","49,096",2015
470,471,Cathay Life Insurance,12.9%,"1,048.7",101.4%,"148,900.7","31,239",2015
471,472,Taiwan Semiconductor,25.1%,"8,392.2",35.4%,"47,305.5","43,591",2015
472,473,LG Display,1.7%,858.8,120.6%,"20,898.1","49,421",2015
473,474,Greenergy Fuels Holdings,9.6%,17.4,-7.3%,"2,742.8",518,2015
474,475,CRH,4.8%,772,-,"26,638.8","75,706",2015
475,476,East Japan Railway,-7.1%,"1,640.7",-17.8%,"63,428.3","86,986",2015
476,477,Zhejiang Geely Holding Group,-3.0%,275.5,133.2%,"20,975.7","42,968",2015
477,478,Gilead Sciences,122.2%,"12,101",293.6%,"34,664","7,000",2015
478,479,Standard Chartered,-3.5%,"2,613",-36.1%,"725,914","90,940",2015
479,480,Perusahaan Listrik Negara,-1.4%,989,-,"48,760.8","48,068",2015
480,481,Telstra,-7.5%,"3,923.5",0.3%,"37,142.6","31,931",2015
481,482,Alstom,-9.6%,-906.1,-221.6%,"35,688.4","90,365",2015
482,483,Baker Hughes,9.8%,"1,719",56.8%,"28,827","62,000",2015
483,484,Emerson Electric,-0.5%,"2,147",7.1%,"24,177","115,100",2015
484,485,Sodexo,1.9%,666.7,16.1%,"19,070.1","419,317",2015
485,486,National Grid,4.0%,"3,248.6",-17.4%,"81,770.8","24,274",2015
486,487,EMC,5.2%,"2,714",-6.1%,"45,885","70,000",2015
487,488,ZF Friedrichshafen,9.3%,859.6,48.2%,"16,198.4","71,402",2015
488,489,Landesbank Baden-Württemberg,-23.7%,575.7,26.4%,"322,117.4","11,117",2015
489,490,Onex,-18.3%,-115,-,"28,936","192,000",2015
490,491,Vattenfall,-8.3%,"-1,191.7",-,"63,449.2","30,181",2015
491,492,United Services Auto. Assn.,14.6%,"3,409.6",25.1%,"130,253.2","27,635",2015
492,493,Union Pacific,9.2%,"5,180",18.0%,"52,716","47,201",2015
493,494,Northrop Grumman,-2.8%,"2,069",6.0%,"26,572","64,300",2015
494,495,Alcoa,3.8%,268,-,"37,399","59,000",2015
495,496,Capital One Financial,-1.2%,"4,428",6.5%,"308,854","46,000",2015
496,497,AntarChile,-2.1%,509.2,11.0%,"22,523.7","24,031",2015
497,498,Rolls-Royce Holdings,-1.9%,113.6,-94.7%,"34,649.2","54,100",2015
498,499,Cosmo Oil,-23.1%,-707,-1728.9%,"11,914.2","6,359",2015
499,500,Wuhan Iron & Steel,-35.8%,54.5,347.2%,"34,447","103,594",2015
