,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,year
269,269,Metro,"$40,957",-,$358.4,"$18,651.30",-,"135,890",-,2018
270,270,Wuchan Zhongda Group,"$40,929",31.2%,$330.7,"$13,197.80",2%,"19,071",78,2018
271,271,Sanofi,"$40,810",-1.4%,"$9,506.90","$119,867.90",82.6%,"106,570",-31,2018
272,272,Brookfield Asset Management,"$40,786",67.1%,"$1,462.00","$192,720.00",-11.4%,"80,750",169,2018
273,273,China United Network Communications,"$40,664",-1.5%,$63,"$88,086.20",171.7%,"252,522",-32,2018
274,274,Facebook,"$40,653",47.1%,"$15,934.00","$84,524.00",56%,"25,105",119,2018
275,275,Honeywell International,"$40,534",3.1%,"$1,655.00","$59,387.00",-65.6%,"131,000",-15,2018
276,276,Merck,"$40,122",0.8%,"$2,394.00","$87,872.00",-38.9%,"69,000",-21,2018
277,277,Lufthansa Group,"$40,105",14.6%,"$2,664.70","$43,548.30",35.7%,"110,917",26,2018
278,278,Rio Tinto Group,"$40,030",18.5%,"$8,762.00","$95,726.00",89.8%,"46,807",38,2018
279,279,Mitsubishi Electric,"$39,995",2.2%,"$2,453.90","$40,106.80",26.3%,"142,340",-17,2018
280,280,China Merchants Group,"$39,971",24.2%,"$4,039.40","$183,913.80",5.9%,"108,737",-,2018
281,281,SABIC,"$39,939",4.7%,"$4,914.90","$85,992.70",4.6%,"34,000",18,2018
282,282,Power Corp. of Canada,"$39,493",3.2%,"$1,031.00","$355,620.20",20.5%,"30,484",-16,2018
283,283,Jardine Matheson,"$39,456",6.5%,"$3,785.00","$82,814.00",51.2%,"444,000",-4,2018
284,284,ACS,"$39,338",6.3%,$904,"$38,281.30",8.9%,"122,120",-3,2018
285,285,Pegatron,"$39,238",9.3%,$482.6,"$16,411.30",-19.5%,"130,052",11,2018
286,286,Volvo,"$39,172",11.1%,"$2,455.20","$50,393.90",59.9%,"93,296",15,2018
287,287,Magna International,"$38,946",6.9%,"$2,206.00","$25,393.00",8.6%,"168,000",3,2018
288,288,Shaanxi Yanchang Petroleum (Group),"$38,898",19.1%,$166.8,"$50,590.30",-,"130,614",38,2018
289,289,China Huaneng Group,"$38,872",3.5%,$215.6,"$159,644.80",-,"138,473",-15,2018
290,290,GlaxoSmithKline,"$38,868",3.3%,"$1,972.60","$76,252.40",60.3%,"98,462",-17,2018
291,291,Talanx,"$38,603",10%,$757.5,"$190,184.90",-24.5%,"20,419",11,2018
292,292,Royal Bank of Canada,"$38,551",10.4%,"$8,735.60","$940,998.50",11.4%,"78,210",12,2018
293,293,Allstate,"$38,524",5.4%,"$3,189.00","$112,422.00",69.9%,"42,680",-5,2018
294,294,Shaanxi Coal & Chemical Industry,"$38,483",20.5%,$73.6,"$71,262.30",-,"119,416",43,2018
295,295,AIA Group,"$38,330",35.9%,"$6,120.00","$215,691.00",47%,"20,000",88,2018
296,296,BHP Billiton,"$38,285",23.9%,"$5,890.00","$117,006.00",-,"26,146",54,2018
297,297,Tyson Foods,"$38,260",3.7%,"$1,774.00","$28,066.00",0.3%,"122,000",-14,2018
298,298,Fresenius,"$38,197",17.2%,"$2,044.80","$63,800.40",18.5%,"273,249",37,2018
299,299,Alimentation Couche-Tard,"$37,905",11%,"$1,208.90","$14,171.20",1.3%,"120,000",12,2018
300,300,Alibaba Group Holding,"$37,771",60.6%,"$9,673.10","$113,979.40",49.1%,"66,421",162,2018
301,301,United Continental Holdings,"$37,736",3.2%,"$2,131.00","$42,326.00",-5.8%,"89,800",-14,2018
302,302,Oracle,"$37,728",1.8%,"$9,335.00","$134,991.00",4.9%,"138,000",-22,2018
303,303,J. Sainsbury,"$37,711",10.4%,$409.5,"$30,856.90",-16.6%,"121,200",7,2018
304,304,Poste Italiane,"$37,695",2.9%,$776.7,"$243,359.80",12.9%,"136,555",-19,2018
305,305,Maersk Group,"$37,500",5.7%,"$-1,205.00","$63,227.00",-,"85,667",-7,2018
306,306,UBS Group,"$37,317",3%,"$1,069.80","$939,794.70",-67.1%,"61,253",-15,2018
307,307,Bouygues,"$37,259",5.6%,"$1,223.00","$42,961.10",51.1%,"115,530",-7,2018
308,308,George Weston,"$37,212",2.8%,$584.9,"$30,730.40",41%,"198,000",-15,2018
309,309,Meiji Yasuda Life Insurance,"$37,160",3.9%,"$2,392.20","$390,702.80",15.9%,"42,261",-12,2018
310,310,Edeka Zentrale,"$37,125",8.6%,$345,"$8,863.80",-3.1%,"369,000",-1,2018
311,311,Mitsubishi Heavy Industries,"$37,103",2.7%,$636.2,"$51,609.60",-21.4%,"80,652",-17,2018
312,312,China Poly Group,"$37,002",17.4%,"$1,152.60","$138,876.40",54.9%,"88,407",29,2018
313,313,Fujitsu,"$36,991",-11.1%,"$1,528.40","$29,356.90",87.2%,"140,365",-76,2018
314,314,Bharat Petroleum,"$36,851",21.6%,"$1,397.50","$18,464.90",7.5%,"12,924",46,2018
315,315,Tech Data,"$36,775",40.2%,$116.6,"$12,652.60",-40.2%,"14,000",97,2018
316,316,Accenture,"$36,766",5.7%,"$3,445.10","$22,689.90",-16.2%,"425,000",-11,2018
317,317,Canon,"$36,388",16.4%,"$2,157.60","$46,153.70",55.8%,"197,776",30,2018
318,318,Centrica,"$36,083",-1.4%,$428.8,"$27,952.40",-81%,"34,901",-32,2018
319,319,TIAA,"$36,025",-2.9%,"$1,049.70","$583,631.70",-29.7%,"16,829",-41,2018
320,320,SNCF Mobilites,"$35,880",6.3%,"$1,280.50","$47,827.80",126.6%,"201,816",-3,2018
321,321,TJX,"$35,865",8.1%,"$2,607.90","$14,058.00",13.5%,"249,000",-,2018
322,322,China Everbright Group,"$35,840",10.4%,"$1,895.10","$686,170.80",0.9%,"66,100",7,2018
323,323,Midea Group,"$35,794",48.8%,"$2,557.30","$38,099.90",15.7%,"101,826",127,2018
324,324,Intesa Sanpaolo,"$35,752",-1.3%,"$8,246.70","$956,845.60",139.7%,"96,892",-32,2018
325,325,Vale,"$35,713",21.6%,"$5,507.00","$99,184.00",38.3%,"74,098",45,2018
326,326,Toshiba,"$35,630",-20.7%,"$7,256.80","$41,928.10",-,"141,256",-,2018
327,327,American Express,"$35,583",5.2%,"$2,736.00","$181,159.00",-49.4%,"55,000",-12,2018
328,328,Coca-Cola,"$35,410",-15.4%,"$1,248.00","$87,896.00",-80.9%,"61,800",-93,2018
329,329,Aisin Seiki,"$35,281",7.3%,"$1,214.40","$33,178.90",3.9%,"114,478",-5,2018
330,330,Iberdrola,"$35,240",9.1%,"$3,160.70","$132,911.30",5.7%,"28,750",2,2018
331,331,Tencent Holdings,"$35,179",53.8%,"$10,580.60","$85,176.90",71%,"44,796",147,2018
332,332,China Vanke,"$35,117",1.9%,"$4,150.50","$178,968.00",31.2%,"77,708",-25,2018
333,333,China Energy Engineering Group,"$35,048",3.3%,$371.7,"$54,635.00",-11.7%,"168,260",-21,2018
334,334,Publix Super Markets,"$34,837",1.6%,"$2,291.90","$18,183.50",13.1%,"193,000",-26,2018
335,335,China COSCO Shipping,"$34,668",16.6%,"$1,404.30","$109,043.90",-5.7%,"100,550",31,2018
336,336,Barclays,"$34,507",-6.2%,"$-1,652.00","$1,532,658.90",-158.8%,"79,900",-52,2018
337,337,Toronto-Dominion Bank,"$34,501",11.8%,"$7,946.70","$992,315.20",19.6%,"83,160",14,2018
338,338,LyondellBasell Industries,"$34,484",18.2%,"$4,879.00","$26,206.00",27.2%,"13,400",36,2018
339,339,Noble Group,"$34,421",-26%,"$-4,938.20","$4,809.50",-57169.60%,500,-134,2018
340,340,Nike,"$34,350",6.1%,"$4,240.00","$23,259.00",12.8%,"74,400",-9,2018
341,341,ABB,"$34,312",1.4%,"$2,213.00","$43,262.00",16.5%,"134,800",-27,2018
342,342,Daiwa House Industry,"$34,262",5.7%,"$2,133.30","$37,950.50",14.6%,"60,539",-12,2018
343,343,China Aerospace Science & Technology,"$34,254",6.7%,"$2,225.20","$63,057.50",11.5%,"173,102",-7,2018
344,344,Andeavor,"$34,204",42.5%,"$1,528.00","$28,573.00",108.2%,"14,300",109,2018
345,345,Enbridge,"$34,196",31.2%,"$2,203.00","$129,384.60",41.1%,"12,700",71,2018
346,346,China Aerospace Science & Industry,"$34,073",11.4%,"$1,607.10","$44,273.70",11.3%,"145,987",9,2018
347,347,Sompo Holdings,"$34,028",7.8%,"$1,262.00","$112,370.20",-17.8%,"48,544",-7,2018
348,348,Suzuki Motor,"$33,912",15.9%,"$1,947.10","$31,419.40",31.9%,"65,179",25,2018
349,349,Commonwealth Bank of Australia,"$33,887",5%,"$7,484.70","$748,753.10",11.5%,"45,614",-16,2018
350,350,Sumitomo Life Insurance,"$33,821",-17.4%,$630.3,"$338,911.30",21.8%,"42,835",-108,2018
351,351,World Fuel Services,"$33,696",24.7%,$-170.2,"$5,587.80",-234.5%,"5,000",51,2018
352,352,Mitsubishi Chemical Holdings,"$33,616",7.9%,"$1,911.50","$44,207.60",32.6%,"69,230",-3,2018
353,353,Country Garden Holdings,"$33,572",45.7%,"$3,856.30","$161,190.00",122.4%,"124,837",114,2018
354,354,Quanta Computer,"$33,564",21.1%,$472.2,"$20,617.70",0.6%,"109,624",36,2018
355,355,DZ Bank,"$33,563",2.8%,"$1,078.70","$607,101.30",-33.5%,"28,201",-28,2018
356,356,Exelon,"$33,531",6.9%,"$3,770.00","$116,700.00",232.5%,"34,621",-12,2018
357,357,Massachusetts Mutual Life Insurance,"$33,495",-11.4%,$513,"$288,854.80",-59.7%,"11,811",-87,2018
358,358,JFE Holdings,"$33,202",8.7%,"$1,305.50","$41,953.40",108.2%,"61,234",-2,2018
359,359,Jizhong Energy Group,"$33,188",-0.5%,$-141.5,"$35,380.70",-,"118,660",-39,2018
360,360,Xiamen ITG Holding Group,"$32,902",50%,$106.3,"$15,282.10",198.4%,"19,639",134,2018
361,361,Cedar Holdings Group,"$32,712",38.4%,"$1,068.10","$20,737.80",27.1%,"31,065",-,2018
362,362,Xiamen C&D,"$32,588",47.2%,$305.1,"$32,280.10",8.9%,"21,133",126,2018
363,363,ConocoPhillips,"$32,584",33.8%,$-855,"$73,362.00",-,"11,400",81,2018
364,364,Jiangsu Shagang Group,"$32,561",9%,"$1,061.80","$26,829.10",201.6%,"34,634",1,2018
365,365,Bridgestone,"$32,495",5.9%,"$2,571.00","$35,150.80",5.3%,"142,669",-12,2018
366,366,Chubb,"$32,243",2.5%,"$3,861.00","$167,022.00",-6.6%,"31,000",-24,2018
367,367,Mizuho Financial Group,"$32,142",5.8%,"$5,203.80","$1,928,226.30",-6.6%,"60,051",-10,2018
368,368,Taiwan Semiconductor Manufacturing,"$32,126",9.3%,"$11,339.30","$66,949.00",10.3%,"48,602",1,2018
369,369,China Electronics,"$31,990",6.6%,$166.8,"$40,399.70",-48.2%,"137,135",-7,2018
370,370,Jiangxi Copper,"$31,964",0.9%,$113.5,"$18,888.80",457.3%,"24,416",-31,2018
371,371,China National Aviation Fuel Group,"$31,942",29.9%,$401.6,"$7,810.00",25.5%,"12,643",68,2018
372,372,CHS,"$31,935",5.2%,$127.9,"$15,973.80",-69.9%,"11,626",-13,2018
373,373,Credit Suisse Group,"$31,900",4.3%,$-998.7,"$817,293.40",-,"46,840",-19,2018
374,374,CK Hutchison Holdings,"$31,892",-4.7%,"$4,504.50","$140,751.60",5.9%,"300,000",-55,2018
375,375,Xiamen Xiangyu Group,"$31,676",69.8%,$147.2,"$14,081.50",34.6%,"7,926",-,2018
376,376,3M,"$31,657",5.1%,"$4,858.00","$37,987.00",-3.8%,"91,536",-15,2018
377,377,BT Group,"$31,439",0.3%,"$2,692.90","$59,970.50",8.4%,"105,800",-31,2018
378,378,Mazda Motor,"$31,356",5.7%,"$1,011.40","$25,656.80",16.9%,"49,755",-11,2018
379,379,Time Warner,"$31,271",6.7%,"$5,247.00","$69,209.00",33.6%,"26,000",-8,2018
380,380,Hyundai Mobis,"$31,091",-5.7%,"$1,387.30","$38,991.80",-47%,"29,492",-57,2018
381,381,Xinxing Cathay International Group,"$31,078",-6.3%,$440,"$21,110.40",-1.8%,"56,701",-59,2018
382,382,CRH,"$31,069",3.7%,"$2,136.10","$37,983.90",55.4%,"89,213",-19,2018
383,383,General Dynamics,"$30,973",-1.2%,"$2,912.00","$35,046.00",-1.5%,"98,600",-38,2018
384,384,Subaru,"$30,735",0.1%,"$1,988.90","$27,126.10",-23.7%,"37,771",-32,2018
385,385,CRRC,"$30,634",-9.2%,"$1,597.70","$57,612.20",-6%,"176,754",-67,2018
386,386,Schlumberger,"$30,440",9.5%,"$-1,505.00","$71,987.00",-,"100,000",2,2018
387,387,Rite Aid,"$30,215",-8%,$943.5,"$8,989.30",23178.30%,"48,410",-62,2018
388,388,China Electronics Technology Group,"$30,176",10.6%,"$1,774.30","$46,790.30",10.1%,"168,923",12,2018
389,389,Johnson Controls International,"$30,172",-19.9%,"$1,611.00","$51,884.00",-,"121,000",-117,2018
390,390,USAA,"$30,016",10.6%,"$2,421.90","$155,390.50",36.1%,"32,705",11,2018
391,391,Capital One Financial,"$29,999",9%,"$1,982.00","$365,693.00",-47.2%,"49,300",4,2018
392,392,L'Oreal,"$29,926",4.7%,"$4,037.00","$42,434.10",17.5%,"82,606",-13,2018
393,393,China State Shipbuilding,"$29,797",-0.3%,$370.8,"$44,674.50",0.9%,"70,009",-29,2018
394,394,Deere,"$29,738",11.6%,"$2,159.10","$65,786.30",41.7%,"60,476",13,2018
395,395,State Power Investment,"$29,727",0.8%,$198.6,"$154,358.30",-54.5%,"127,182",-27,2018
396,396,Medtronic,"$29,710",3%,"$4,028.00","$99,816.00",13.8%,"102,688",-19,2018
397,397,China Huadian,"$29,612",5%,$333.3,"$122,354.90",-7.6%,"105,006",-15,2018
398,398,Idemitsu Kosan,"$29,606",14.4%,"$1,464.90","$27,464.20",80%,"8,955",25,2018
399,399,Yankuang Group,"$29,474",40.1%,$-280.1,"$44,190.70",-,"104,746",-,2018
400,400,INTL FCStone,"$29,424",99.4%,$6.4,"$6,243.40",-88.3%,"1,607",-,2018
401,401,Northwestern Mutual,"$29,331",1.8%,"$1,017.00","$265,049.00",24.3%,"5,437",-23,2018
402,402,UniCredit Group,"$29,257",-10.1%,"$6,169.30","$1,004,790.70",-,"91,952",-74,2018
403,403,Enterprise Products Partners,"$29,242",27%,"$2,799.30","$54,418.10",11.4%,"7,000",66,2018
404,404,Compal Electronics,"$29,175",22.7%,$189,"$12,213.70",-25%,"63,491",54,2018
405,405,Rajesh Exports,"$29,125",-19.4%,$196.4,"$3,608.80",5.7%,350,-110,2018
406,406,Air France-KLM Group,"$29,064",4.1%,$-308.9,"$29,308.40",-135.3%,"80,595",-20,2018
407,407,Travelers Cos.,"$28,902",4.6%,"$2,056.00","$103,483.00",-31.8%,"30,800",-13,2018
408,408,Inditex,"$28,887",12.3%,"$3,840.10","$25,200.50",10.2%,"171,839",20,2018
409,409,Hewlett Packard Enterprise,"$28,871",-42.4%,$344,"$61,406.00",-89.1%,"66,000",-228,2018
410,410,Cathay Life Insurance,"$28,805",9.6%,"$1,192.80","$204,963.20",27.7%,"39,822",1,2018
411,411,Philip Morris International,"$28,748",7.7%,"$6,035.00","$42,968.00",-13.4%,"80,600",-5,2018
412,412,Coop Group,"$28,601",3.4%,$492.7,"$19,995.90",2.2%,"74,532",-20,2018
413,413,Compass Group,"$28,578",2.7%,"$1,470.20","$14,727.00",4.4%,"588,112",-26,2018
414,414,Westpac Banking,"$28,565",3.1%,"$6,083.20","$668,294.50",11.1%,"35,096",-23,2018
415,415,Migros Group,"$28,518",1.3%,$524.2,"$66,284.50",-24.4%,"79,303",-30,2018
416,416,Twenty-First Century Fox,"$28,500",4.3%,"$2,952.00","$50,724.00",7.2%,"21,700",-20,2018
417,417,Phoenix Pharma,"$28,401",5.3%,$184.4,"$10,410.00",36.1%,"27,638",-14,2018
418,418,Medipal Holdings,"$28,398",0.4%,$313.9,"$15,250.40",17.2%,"15,993",-37,2018
419,419,Veolia Environnement,"$28,321",5%,$452.7,"$46,000.40",6.9%,"164,385",-15,2018
420,420,Kansai Electric Power,"$28,283",1.8%,"$1,370.80","$65,692.50",5.5%,"32,520",-31,2018
421,421,Samsung Life Insurance,"$28,273",7.8%,"$1,031.60","$264,119.80",-41.7%,"5,244",-8,2018
422,422,AbbVie,"$28,216",10.1%,"$5,309.00","$70,786.00",-10.8%,"29,000",7,2018
423,423,Royal Philips,"$28,071",-3.2%,"$1,867.80","$30,397.50",16.6%,"73,951",-48,2018
424,424,Schneider Electric,"$27,891",2.1%,"$2,423.50","$47,849.40",25.2%,"142,013",-25,2018
425,425,Sumitomo Electric Industries,"$27,820",7.1%,"$1,086.10","$28,376.80",9.4%,"255,133",-5,2018
426,426,Danone,"$27,816",14.6%,"$2,765.10","$53,155.60",45.4%,"104,843",20,2018
427,427,Suning.com Group,"$27,806",24.3%,$623.3,"$24,151.80",487.8%,"121,102",58,2018
428,428,Ansteel Group,"$27,792",32.6%,$61.1,"$54,643.10",-,"145,771",-,2018
429,429,Gas Natural Fenosa,"$27,653",6.1%,"$1,533.00","$56,822.80",2.9%,"15,374",-12,2018
430,430,Bank of Nova Scotia,"$27,555",6.7%,"$6,119.10","$710,119.50",14.1%,"88,645",-6,2018
431,431,Shougang Group,"$27,489",35.4%,$0.9,"$76,956.80",-,"115,482",-,2018
432,432,Wistron,"$27,480",34.3%,$127.7,"$10,979.90",39.1%,"82,955",-,2018
433,433,Abbott Laboratories,"$27,390",31.3%,$477,"$76,250.00",-65.9%,"99,000",-,2018
434,434,La Poste,"$27,177",5.5%,$959.3,"$296,184.00",2.2%,"236,223",-7,2018
435,435,Koc Holding,"$27,108",15.6%,"$1,345.90","$27,452.50",17.6%,"94,111",28,2018
436,436,CPC,"$27,106",26.6%,"$1,324.90","$25,043.60",45.5%,"14,814",-,2018
437,437,Progressive,"$26,839",14.5%,"$1,592.20","$38,701.20",54.4%,"33,656",27,2018
438,438,GS Caltex,"$26,821",20.8%,"$1,272.20","$18,762.90",4.2%,"2,920",48,2018
439,439,Mapfre Group,"$26,817",4%,$789.6,"$81,135.30",-7.9%,"36,271",-13,2018
440,440,Arrow Electronics,"$26,813",12.5%,$402,"$16,462.80",-23.1%,"18,800",16,2018
441,441,Adecco Group,"$26,670",6.2%,$888.2,"$11,875.60",11.1%,"34,000",-7,2018
442,442,SK Hynix,"$26,636",79.7%,"$9,414.00","$42,431.30",269.8%,"28,000",-,2018
443,443,East Japan Railway,"$26,627",0.2%,"$2,608.10","$76,626.30",1.7%,"86,389",-35,2018
444,444,LafargeHolcim,"$26,545",-2.8%,"$-1,701.70","$65,358.70",-193.6%,"81,960",-46,2018
445,445,Altice,"$26,489",15.4%,$-615.5,"$86,980.10",-,"47,143",28,2018
446,446,SAP,"$26,446",8.4%,"$4,529.20","$51,029.10",12.3%,"88,543",-3,2018
447,447,Onex,"$26,290",14.6%,"$2,394.00","$44,679.00",-,"207,000",27,2018
448,448,Australia & New Zealand Banking Group,"$26,283",1%,"$4,877.20","$703,950.70",16.1%,"44,896",-30,2018
449,449,Anglo American,"$26,243",22.8%,"$3,166.00","$54,561.00",98.6%,"69,000",-,2018
450,450,Randstad Holding,"$26,234",14.7%,$711.7,"$11,723.00",9.5%,"37,930",27,2018
451,451,Kraft Heinz,"$26,232",-1%,"$10,999.00","$120,232.00",202.8%,"39,000",-41,2018
452,452,Plains GP Holdings,"$26,223",29.9%,$-731,"$26,753.00",-877.7%,"4,850",-,2018
453,453,British American Tobacco,"$26,128",31.2%,"$48,327.80","$190,746.60",670.4%,"62,270",-,2018
454,454,CFE,"$26,108",38.6%,"$5,704.40","$80,467.20",39.8%,"90,000",-,2018
455,455,Gilead Sciences,"$26,107",-14.1%,"$4,628.00","$70,283.00",-65.7%,"10,000",-97,2018
456,456,Xinjiang Guanghui Industry Investment,"$26,106",19.1%,$32.5,"$37,727.40",-87.1%,"79,747",39,2018
457,457,Nokia,"$26,092",-0.2%,"$-1,684.10","$49,260.30",-,"101,731",-42,2018
458,458,Samsung C&T,"$25,902",7%,$566,"$45,823.00",511.8%,"12,953",-11,2018
459,459,Mondelez International,"$25,896",-0.1%,"$2,922.00","$63,109.00",76.1%,"83,000",-38,2018
460,460,International Airlines Group,"$25,894",3.8%,"$2,255.60","$32,734.10",5.6%,"63,422",-25,2018
461,461,Northrop Grumman,"$25,803",5.3%,"$2,015.00","$34,917.00",-8.4%,"70,000",-21,2018
462,462,Chubu Electric Power,"$25,753",7.2%,$671.3,"$52,009.70",-36.6%,"30,635",-11,2018
463,463,NEC,"$25,673",4.4%,$414,"$26,533.90",64.3%,"111,200",-26,2018
464,464,Yango Longking Group,"$25,605",8.2%,$452.5,"$45,226.70",184.2%,"20,105",-5,2018
465,465,China Taiping Insurance Group,"$25,598",18.6%,$449.2,"$85,774.00",53.4%,"77,472",-,2018
466,466,Flex,"$25,441",6.6%,$428.5,"$13,715.90",34.1%,"200,000",-11,2018
467,467,Raytheon,"$25,348",5.3%,"$2,024.00","$30,860.00",-8.5%,"64,000",-18,2018
468,468,China Datang,"$25,299",6%,$341.7,"$110,688.90",40.1%,"96,735",-14,2018
469,469,PKN ORLEN Group,"$25,256",25.2%,"$1,762.50","$17,462.30",32.2%,"20,262",-,2018
470,470,Ultrapar Holdings,"$25,065",13.1%,$493.2,"$8,545.80",10.2%,"16,448",17,2018
471,471,KB Financial Group,"$25,052",56.4%,"$2,929.50","$408,058.30",58.6%,"26,846",-,2018
472,472,Achmea,"$24,872",-6.1%,$242.4,"$109,205.10",-,"14,582",-63,2018
473,473,Macy's,"$24,837",-3.7%,"$1,547.00","$19,381.00",149.9%,"130,000",-48,2018
474,474,Emirates Group,"$24,837",8.9%,$761.2,"$34,737.40",123.7%,"62,356",6,2018
475,475,Heineken Holding,"$24,831",7.8%,"$1,101.30","$49,272.30",27.8%,"80,425",-7,2018
476,476,Suncor Energy,"$24,793",21.9%,"$3,435.10","$71,435.20",949.2%,"12,381",-,2018
477,477,Energie Baden-Wurttemberg,"$24,769",15.6%,"$2,315.40","$46,571.70",-,"19,939",-,2018
478,478,Michelin,"$24,754",7.1%,"$1,916.30","$30,339.80",3.4%,"107,807",-12,2018
479,479,Fubon Financial Holding,"$24,688",11%,"$1,778.90","$232,586.70",18.5%,"44,173",-,2018
480,480,Adidas,"$24,669",15.6%,"$1,236.60","$17,437.60",10%,"56,888",-,2018
481,481,Shanxi Jincheng Anthracite Coal Mining Group,"$24,659",7.8%,$57.3,"$38,267.00",1820.10%,"132,846",-5,2018
482,482,Heraeus Holding,"$24,622",3.5%,-,"$5,798.90",-,"13,073",-25,2018
483,483,LG Display,"$24,585",7.6%,"$1,594.80","$27,241.90",104.1%,"53,891",-4,2018
484,484,DXC Technology,"$24,556",222.8%,"$1,751.00","$33,921.00",-,"150,000",-,2018
485,485,National Australia Bank,"$24,550",-8.9%,"$4,023.80","$618,439.60",1453.80%,"33,422",-80,2018
486,486,Ceconomy,"$24,432",-62.3%,"$1,215.30","$9,787.20",82.7%,"57,582",-363,2018
487,487,Fomento Economico Mexicano,"$24,341",13.8%,"$2,241.80","$30,083.60",98.2%,"295,097",-,2018
488,488,US Foods Holding,"$24,147",5.4%,$444.3,"$9,037.20",111.8%,"25,204",-13,2018
489,489,Taikang Insurance Group,"$24,058",27.8%,"$1,683.20","$109,467.80",32.9%,"52,424",-,2018
490,490,U.S. Bancorp,"$23,996",5.5%,"$6,218.00","$462,040.00",5.6%,"72,402",-9,2018
491,491,Boehringer Ingelheim,"$23,888",17.6%,$-258.1,"$34,085.00",-112.6%,"49,610",-,2018
492,492,Rabobank Group,"$23,812",-6.6%,"$1,701.00","$724,052.60",105.4%,"43,810",-20,2018
493,493,CJ Corp.,"$23,796",15.3%,$410.2,"$27,396.70",113.4%,"55,424",-,2018
494,494,Yangquan Coal Industry Group,"$23,793",-2%,$-117.1,"$33,075.60",-1150.30%,"135,723",-49,2018
495,495,Shanxi LuAn Mining Group,"$23,785",-1.3%,$0.5,"$37,128.20",-,"95,796",-47,2018
496,496,Henan Energy & Chemical,"$23,699",26.9%,$-68.6,"$39,857.30",-,"182,480",-,2018
497,497,Datong Coal Mine Group,"$23,698",-7.5%,$66.8,"$51,065.70",-,"160,836",-67,2018
498,498,BAE Systems,"$23,592",-1.7%,"$1,099.60","$30,366.50",-10.8%,"76,000",-46,2018
499,499,Qingdao Haier,"$23,563",31.5%,"$1,024.70","$23,259.10",35.2%,"76,896",-,2018
