id,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,year
275,276,Shenhua Group,"$37,322",-0.8%,"$1,916.9","$140,911",37.9%,"202,200",-6,2017
276,277,Greenland Holding Group,"$37,240",12.8%,"$1,085.2","$105,495",-1%,"39,887",34,2017
277,278,TIAA,"$37,105",5.5%,"$1,492.3","$523,194",22.9%,"12,997",13,2017
278,279,Jardine Matheson,"$37,051",0.1%,"$2,503","$71,523",39.3%,"430,000",-6,2017
279,280,Oracle,"$37,047",-3.1%,"$8,901","$112,180",-10.4%,"136,000",-20,2017
280,281,ACS,"$36,992",-4.5%,$830.5,"$35,196",3.2%,"117,542",-26,2017
281,282,Sumitomo,"$36,888",10.4%,"$1,577.1","$69,669",154%,"70,900",26,2017
282,283,Tyson Foods,"$36,881",-10.9%,"$1,768","$22,373",44.9%,"114,000",-48,2017
283,284,Barclays,"$36,789",-25.7%,"$2,807.4","$1,498,612",-,"119,300",-103,2017
284,285,Poste Italiane,"$36,617",7.4%,$687.8,"$203,760",12.3%,"136,739",20,2017
285,286,Centrica,"$36,580",-14.4%,"$2,256.7","$27,046",-,"38,278",-66,2017
286,287,United Continental Holdings,"$36,556",-3.5%,"$2,263","$40,140",-69.2%,"88,000",-22,2017
287,288,Allstate,"$36,534",2.5%,"$1,877","$108,610",-13.5%,"43,275",-5,2017
288,289,Pertamina,"$36,487",-12.6%,"$3,147","$47,233",121.6%,"27,227",-59,2017
289,290,Magna International,"$36,445",7.6%,"$2,031","$22,566",0.9%,"155,450",16,2017
290,291,UBS Group,"$36,230",-5.9%,"$3,252.2","$920,291",-49.6%,"59,387",-34,2017
291,292,Intesa Sanpaolo,"$36,225",-14.2%,"$3,440.3","$764,712",13.2%,"89,126",-68,2017
292,293,George Weston,"$36,211",-1.3%,$414.9,"$28,299",0.6%,"195,000",-19,2017
293,294,Mitsubishi Heavy Industries,"$36,122",7.2%,$809.6,"$49,205",52.3%,"82,728",13,2017
294,295,Rajesh Exports,"$36,114",43.1%,$185.8,"$3,717",13.8%,328,128,2017
295,296,Pegatron,"$35,891",-6.1%,$599.6,"$13,776",-20.1%,"196,251",-37,2017
296,297,Meiji Yasuda Life Insurance,"$35,767",0.4%,"$2,064.8","$362,739",15.8%,"41,872",-13,2017
297,298,Maersk Group,"$35,464",-12%,"$-1,939","$61,118",-345.1%,"87,736",-58,2017
298,299,SABIC,"$35,421",-10.3%,"$4,757.1","$84,489",-4.9%,"35,000",-52,2017
299,300,Bouygues,"$35,277",-2.2%,$809.5,"$36,758",81.1%,"117,997",-20,2017
300,301,Volvo,"$35,269",-4.8%,"$1,535.8","$43,924",-14%,"89,477",-29,2017
301,302,Talanx,"$35,101",-0.8%,"$1,003","$165,124",23.2%,"20,039",-13,2017
302,303,Lufthansa Group,"$35,011",-1.5%,"$1,964","$36,593",4.3%,"107,276",-18,2017
303,304,Royal Bank of Canada,"$34,904",0.3%,"$7,839.6","$880,724",-1.8%,"75,510",-7,2017
304,305,Accenture,"$34,798",5.7%,"$4,111.9","$20,609",34.7%,"384,000",7,2017
305,306,Repsol,"$34,485",-12.5%,"$1,919.7","$68,392",-,"24,396",-56,2017
306,307,China Vanke,"$34,458",17.5%,"$3,164.5","$119,555",9.8%,"58,280",49,2017
307,308,Publix Super Markets,"$34,274",5.1%,"$2,025.7","$17,464",3.1%,"191,000",9,2017
308,309,Edeka Zentrale,"$34,193",6.8%,$356,"$6,921",28.3%,"351,500",12,2017
309,310,J. Sainsbury,"$34,149",-3.5%,$490.9,"$24,674",-30.8%,"118,700",-22,2017
310,311,Alimentation Couche-Tard,"$34,145",-1.1%,"$1,193.5","$12,304",27.9%,"105,000",-10,2017
311,312,China Energy Engineering Group,"$33,930",2.1%,$421,"$44,181",-22%,"169,173",-3,2017
312,313,Hyundai Heavy Industries,"$33,881",-17.1%,$469.8,"$40,783",-,"30,767",-76,2017
313,314,ABB,"$33,828",-4.7%,"$1,899","$39,499",-1.8%,"132,300",-28,2017
314,315,American Express,"$33,823",-1.8%,"$5,408","$158,893",4.7%,"56,400",-13,2017
315,316,Rio Tinto Group,"$33,781",-3%,"$4,617","$89,263",-,"51,029",-20,2017
316,317,SNCF Mobilites,"$33,747",3.8%,$565.1,"$39,993",-,"193,718",2,2017
317,318,CRRC,"$33,739",-10.8%,"$1,700.3","$48,681",-9.6%,"183,061",-52,2017
318,319,CK Hutchison Holdings,"$33,475",47.4%,"$4,252.4","$130,721",-72.2%,"290,000",154,2017
319,320,Jizhong Energy Group,"$33,366",-11.8%,$-153.9,"$30,819",-,"127,298",-53,2017
320,321,TJX,"$33,184",7.2%,"$2,298.2","$12,884",0.9%,"235,000",17,2017
321,322,Xinxing Cathay International Group,"$33,174",1.9%,$448.2,"$18,705",-1.6%,"59,429",-4,2017
322,323,Hyundai Mobis,"$32,972",-0.7%,"$2,617.8","$34,541",-3.1%,"29,499",-13,2017
323,324,Aisin Seiki,"$32,879",21.6%,"$1,168.9","$29,964",39.9%,"99,389",69,2017
324,325,Rite Aid,"$32,845",6.9%,$4.1,"$11,594",-97.6%,"70,430",15,2017
325,326,Shaanxi Yanchang Petroleum (Group),"$32,652",2.8%,$-22.6,"$45,552",-,"134,134",-1,2017
326,327,DZ Bank,"$32,636",4.6%,"$1,623.4","$537,278",3.4%,"28,264",7,2017
327,328,UniCredit Group,"$32,539",-5.9%,"$-13,038","$906,489",-793.7%,"117,659",-28,2017
328,329,China Everbright Group,"$32,461",-1.3%,"$1,877.8","$627,701",-11.2%,"61,400",-16,2017
329,330,Daiwa House Industry,"$32,421",21.9%,"$1,861.5","$31,917",115.8%,"60,539",72,2017
330,331,Nike,"$32,376",5.8%,"$3,760","$21,396",14.9%,"70,700",12,2017
331,332,Iberdrola,"$32,308",-7.3%,"$2,991.3","$112,536",11.4%,"28,389",-37,2017
332,333,Commonwealth Bank of Australia,"$32,287",-14.3%,"$6,712.9","$694,565",-10.9%,"45,129",-64,2017
333,334,Sinomach,"$32,237",-8.2%,$502,"$39,142",-34.5%,"115,390",-41,2017
334,335,Fresenius,"$32,161",4.9%,"$1,761.6","$48,984",16.9%,"232,873",6,2017
335,336,China Aerospace Science & Technology,"$32,094",5%,"$1,996.2","$55,721",7.7%,"170,357",8,2017
336,337,Shaanxi Coal & Chemical Industry,"$31,926",5.3%,$-254.4,"$64,151",-,"123,559",10,2017
337,338,China Evergrande Group,"$31,828",50.2%,"$2,368.8","$194,384",-4.3%,"89,250",158,2017
338,339,Jiangxi Copper,"$31,680",0.4%,$20.4,"$16,108",-,"25,460",-11,2017
339,340,Sompo Holdings,"$31,559",16.4%,"$1,535.7","$107,092",15.5%,"47,430",48,2017
340,341,China Poly Group,"$31,508",18.1%,$744.1,"$95,657",-11.4%,"76,425",60,2017
341,342,Chubb,"$31,469",65.7%,"$4,135","$159,786",45.9%,"31,000",-,2017
342,343,Zhejiang Geely Holding Group,"$31,430",19.5%,"$1,265.7","$29,749",341.6%,"60,712",67,2017
343,344,Exelon,"$31,360",6.5%,"$1,134","$114,904",-50%,"34,396",11,2017
344,345,General Dynamics,"$31,353",-0.4%,"$2,955","$32,872",-0.3%,"98,800",-15,2017
345,346,BT Group,"$31,333",9.3%,"$2,484.6","$52,972",-36.2%,"106,400",23,2017
346,347,Canon,"$31,271",-0.4%,"$1,385","$44,062",-23.9%,"197,673",-15,2017
347,348,Wuchan Zhongda Group,"$31,185",7.3%,$324.3,"$11,018",47.2%,"18,150",11,2017
348,349,Mitsubishi Chemical Holdings,"$31,158",5.6%,"$1,442.1","$40,064",237.1%,"69,291",-25,2017
349,350,BHP Billiton,"$30,912",-40.9%,"$-6,385","$118,953",-434.3%,"26,827",-182,2017
350,351,Toronto-Dominion Bank,"$30,855",2.3%,"$6,646.1","$878,268",4.5%,"81,233",-1,2017
351,352,Subaru,"$30,696",14%,"$2,605.8","$24,794",-28.4%,"36,668",43,2017
352,353,Bridgestone,"$30,678",-2%,"$2,441.3","$31,901",3.9%,"143,616",-20,2017
353,354,Credit Suisse Group,"$30,588",-13%,"$-2,750.7","$806,950",-,"47,170",-62,2017
354,355,China Aerospace Science & Industry,"$30,582",9.7%,"$1,443.7","$36,999",-1.8%,"148,682",26,2017
355,356,JFE Holdings,"$30,539",6.8%,$627,"$38,920",123.6%,"60,439",15,2017
356,357,Mizuho Financial Group,"$30,390",13.5%,"$5,570.1","$1,799,736",-0.3%,"59,179",42,2017
357,358,Gilead Sciences,"$30,390",-6.9%,"$13,501","$56,977",-25.4%,"9,000",-42,2017
358,359,CHS,"$30,347",-12.2%,$424.2,"$17,318",-45.7%,"12,157",-60,2017
359,360,Bharat Petroleum,"$30,316",4.2%,"$1,300.5","$16,801",6.7%,"13,395",-2,2017
360,361,3M,"$30,109",-0.5%,"$5,050","$32,906",4.5%,"91,584",-13,2017
361,362,China Electronics,"$30,010",-4.8%,$321.9,"$36,575",82.6%,"144,659",-33,2017
362,363,CRH,"$29,973",14.3%,"$1,374.6","$33,320",71.2%,"86,778",48,2017
363,364,China State Shipbuilding,"$29,877",-1%,$367.6,"$40,773",-16.1%,"68,025",-15,2017
364,365,Jiangsu Shagang Group,"$29,862",-8.8%,$352.1,"$23,720",148.5%,"35,133",-51,2017
365,366,China COSCO Shipping,"$29,743",29.5%,"$1,489","$94,792",30.1%,"106,478",99,2017
366,367,Mazda Motor,"$29,665",4.5%,$865.5,"$22,660",-22.7%,"48,849",6,2017
367,368,State Power Investment,"$29,493",-3.7%,$436.6,"$126,068",50.9%,"127,343",-26,2017
368,369,Taiwan Semiconductor Manufacturing,"$29,388",10.6%,"$10,283.7","$58,535",7.8%,"46,968",34,2017
369,370,Vale,"$29,363",14.7%,"$3,982","$99,014",-,"73,062",47,2017
370,371,Time Warner,"$29,318",4.3%,"$3,926","$65,966",2.4%,"25,000",5,2017
371,372,Shandong Energy Group,"$29,299",16.6%,$39.2,"$39,887",-,"179,689",54,2017
372,373,Suzuki Motor,"$29,252",10.4%,"$1,476.2","$27,969",51.9%,"62,992",32,2017
373,374,LyondellBasell Industries,"$29,183",-10.9%,"$3,836","$23,442",-14.3%,"13,000",-59,2017
374,375,Royal Philips,"$29,003",1.1%,"$1,601.3","$34,068",123.8%,"114,731",-7,2017
375,376,Charter Communications,"$29,003",197.3%,"$3,522","$149,067",-,"91,500",-,2017
376,377,Medtronic,"$28,833",42.3%,"$3,538","$99,782",32.3%,"98,017",-,2017
377,378,Northwestern Mutual,"$28,799",2.4%,$818,"$250,441",0.4%,"5,646",-1,2017
378,379,L'Oreal,"$28,572",2%,"$3,434.5","$37,577",-6.1%,"89,331",-1,2017
379,380,Dalian Wanda Group,"$28,483",4%,$110.3,"$152,701",-95.5%,"155,905",5,2017
380,381,Medipal Holdings,"$28,277",12.1%,$267.7,"$13,696",4.5%,"15,745",43,2017
381,382,China Huadian,"$28,204",-10.3%,$360.6,"$112,115",-70.3%,"107,000",-51,2017
382,383,AIA Group,"$28,196",21.1%,"$4,164","$185,074",54.7%,"20,000",73,2017
383,384,Hindustan Petroleum,"$28,166",-2.3%,"$1,228.1","$12,370",63.4%,"10,422",-17,2017
384,385,Migros Group,"$28,155",-1.2%,$693.3,"$62,536",-16.7%,"77,704",-13,2017
385,386,Air France-KLM Group,"$27,920",-3.4%,$875.8,"$24,185",569.1%,"82,175",-23,2017
386,387,Compass Group,"$27,837",2.5%,"$1,408.5","$13,693",5%,"527,180",-,2017
387,388,Schlumberger,"$27,810",-21.6%,"$-1,687","$77,956",-181.4%,"100,000",-101,2017
388,389,Kansai Electric Power,"$27,792",2.8%,"$1,299.3","$61,513",10.8%,"32,666",2,2017
389,390,Quanta Computer,"$27,715",-12.7%,$469.3,"$18,229",-16.4%,"92,698",-64,2017
390,391,Westpac Banking,"$27,704",-10.8%,"$5,477","$642,083",-12.7%,"35,280",-55,2017
391,392,Coop Group,"$27,669",2.8%,$482.1,"$18,369",11.5%,"73,451",4,2017
392,393,Facebook,"$27,638",54.2%,"$10,217","$64,961",177%,"17,048",-,2017
393,394,Travelers Cos.,"$27,625",3.1%,"$3,014","$100,245",-12.4%,"30,900",3,2017
394,395,Capital One Financial,"$27,519",9.6%,"$3,751","$357,033",-7.4%,"47,300",35,2017
395,396,Twenty-First Century Fox,"$27,326",-5.7%,"$2,755","$48,365",-66.8%,"21,500",-36,2017
396,397,China Guodian,"$27,315",-10.5%,$268.7,"$114,611",-67.2%,"124,056",-52,2017
397,398,LafargeHolcim,"$27,308",11.4%,"$1,817.9","$68,521",-,"90,903",40,2017
398,399,Schneider Electric,"$27,307",-7.6%,"$1,935.2","$44,137",24%,"143,901",-45,2017
399,400,China Electronics Technology Group,"$27,292",3.3%,"$1,611.6","$35,898",-1.5%,"158,064",8,2017
400,401,USAA,"$27,131",11.4%,"$1,779.1","$147,290",-21.7%,"29,943",43,2017
401,402,World Fuel Services,"$27,016",-11.1%,$126.5,"$5,413",-27.5%,"5,000",-56,2017
402,403,Phoenix Pharmahandel,"$26,976",5.2%,$135.4,"$9,292",-39.5%,"26,611",13,2017
403,404,Veolia Environnement,"$26,972",-2.6%,$423.6,"$40,022",-15.2%,"156,225",-22,2017
404,405,National Australia Bank,"$26,958",-21.1%,$259,"$594,967",-94.8%,"34,263",-101,2017
405,406,Philip Morris International,"$26,685",-0.4%,"$6,967","$36,851",1.4%,"79,500",-8,2017
406,407,Deere,"$26,644",-7.7%,"$1,523.9","$57,981",-21.4%,"56,767",-43,2017
407,408,East Japan Railway,"$26,587",11.3%,"$2,565","$71,009",25.5%,"85,834",39,2017
408,409,Achmea,"$26,494",2.8%,$-423.5,"$98,096",-199.7%,"14,921",4,2017
409,410,Kraft Heinz,"$26,487",44.4%,"$3,632","$120,480",472.9%,"41,000",-,2017
410,411,Cathay Life Insurance,"$26,292",14.9%,$934,"$172,442",-22.5%,"36,578",57,2017
411,412,Tech Data,"$26,235",-0.5%,$195.1,"$7,932",-26.6%,"9,500",-3,2017
412,413,Samsung Life Insurance,"$26,222",7%,"$1,770.3","$219,157",65.3%,"5,284",26,2017
413,414,Avnet,"$26,219",-6.1%,$506.5,"$11,240",-11.4%,"17,700",-34,2017
414,415,Nokia,"$26,113",73.4%,$-847.1,"$47,354",-131%,"102,687",-,2017
415,416,Enbridge,"$26,073",-1.4%,"$1,560.9","$64,011",695%,"7,733",-9,2017
416,417,Gas Natural Fenosa,"$26,070",-11.5%,"$1,489.6","$49,688",-10.6%,"17,229",-52,2017
417,418,Australia & New Zealand Banking Group,"$26,032",-10.1%,"$4,199.9","$699,976",-28.4%,"46,554",-56,2017
418,419,LM Ericsson,"$26,004",-11.2%,$200.5,"$31,199",-87.5%,"111,464",-62,2017
419,420,Sumitomo Electric Industries,"$25,975",6.3%,$992.7,"$26,062",31%,"248,330",20,2017
420,421,Mondelez International,"$25,923",-12.5%,"$1,659","$61,538",-77.2%,"90,000",-69,2017
421,422,Old Mutual,"$25,913",23.8%,$769.3,"$211,943",-18%,"68,527",78,2017
422,423,Idemitsu Kosan,"$25,888",-1%,$813.7,"$23,711",-,"9,139",-11,2017
423,424,Bank of Nova Scotia,"$25,817",2.8%,"$5,362.2","$668,805",-4.9%,"88,901",4,2017
424,425,Macy's,"$25,778",-4.8%,$619,"$19,851",-42.3%,"148,300",-36,2017
425,426,Mapfre Group,"$25,775",3.9%,$857.5,"$71,590",9.1%,"37,020",8,2017
426,427,La Poste,"$25,760",0.8%,$938.9,"$257,526",33.3%,"240,407",-9,2017
427,428,Inditex,"$25,733",11.6%,"$3,485","$21,203",9.9%,"162,450",35,2017
428,429,AbbVie,"$25,638",12.2%,"$5,953","$66,099",15.7%,"30,000",40,2017
429,430,Datong Coal Mine Group,"$25,630",-19.8%,$-214.8,"$40,012",-,"162,542",-108,2017
430,431,Lotte Shopping,"$25,444",-1.2%,$144.9,"$34,710",-,"26,357",-17,2017
431,432,Standard Life,"$25,279",46.9%,$496.7,"$235,324",-77.2%,"6,302",-,2017
432,433,Shanxi Coking Coal Group,"$25,123",-19.1%,$-10,"$39,206",-113.1%,"209,817",-96,2017
433,434,Adecco Group,"$25,112",2.9%,$799.5,"$10,651",8909.5%,"33,000",8,2017
434,435,International Airlines Group,"$24,956",-1.6%,"$2,135.4","$28,868",28.8%,"63,387",-14,2017
435,436,McDonald's,"$24,622",-3.1%,"$4,686.5","$31,024",3.5%,"375,000",-16,2017
436,437,NEC,"$24,596",4.5%,$252,"$24,091",-60.1%,"107,729",15,2017
437,438,DuPont,"$24,594",-12%,"$2,513","$39,964",28.7%,"46,000",-59,2017
438,439,China National Aviation Fuel Group,"$24,588",11.3%,$320,"$6,093",-4.3%,"11,739",45,2017
439,440,Northrop Grumman,"$24,508",4.2%,"$2,200","$25,614",10.6%,"67,000",10,2017
440,441,Brookfield Asset Management,"$24,411",22.6%,"$1,651","$159,826",-29.5%,"55,700",-,2017
441,442,Mercantil Servicios Financieros,"$24,403",50.3%,"$2,004.2","$148,659",-10.5%,"8,370",-,2017
442,443,SAP,"$24,397",5.8%,"$4,031.9","$46,696",18.6%,"84,183",19,2017
443,444,ConocoPhillips,"$24,360",-21.3%,"$-3,615","$89,772",-,"13,300",-105,2017
444,445,Yangquan Coal Industry Group,"$24,284",-14.2%,$11.1,"$30,793",-,"146,236",-71,2017
445,446,Danone,"$24,267",-2.4%,"$1,902.1","$46,350",33.8%,"99,187",-13,2017
446,447,Samsung C&T,"$24,217",105.2%,$92.5,"$36,816",-96.2%,"13,898",-,2017
447,448,Shanxi LuAn Mining Group,"$24,087",-15.9%,$-106.9,"$29,026",-,"95,666",-78,2017
448,449,Raytheon,"$24,069",3.5%,"$2,211","$30,052",6.6%,"63,000",8,2017
449,450,Midea Group,"$24,060",8.5%,"$2,210.4","$24,549",9.3%,"126,418",31,2017
450,451,Chubu Electric Power,"$24,028",1.1%,"$1,058.2","$48,580",-25.2%,"30,635",-3,2017
451,452,BAE Systems,"$24,011",-6.4%,"$1,232.3","$28,383",-12.1%,"76,000",-37,2017
452,453,Andeavor,"$24,005",-14.7%,$734,"$20,398",-52.3%,"6,308",-78,2017
453,454,China Datang,"$23,871",-9.7%,$243.9,"$101,631",32.9%,"97,091",-48,2017
454,455,Flex,"$23,863",-2.3%,$319.6,"$12,593",-28%,"200,000",-14,2017
455,456,Arrow Electronics,"$23,825",2.3%,$522.8,"$14,206",5%,"18,700",-1,2017
456,457,Heraeus Holding,"$23,793",65.9%,-,"$4,982",-,"12,369",-,2017
457,458,Compal Electronics,"$23,773",-10.9%,$252.1,"$10,769",-7.9%,"64,728",-58,2017
458,459,Yango Financial Holding,"$23,657",11.5%,$159.2,"$24,231",-59%,"10,234",-,2017
459,460,Qualcomm,"$23,554",-6.8%,"$5,705","$52,359",8.2%,"30,500",-38,2017
460,461,Alfresa Holdings,"$23,551",9.7%,$285.1,"$11,273",-2.1%,"13,217",31,2017
461,462,Alibaba Group Holding,"$23,517",47.9%,"$6,489.5","$73,538",-42.2%,"50,097",-,2017
462,463,Koc Holding,"$23,456",-8.1%,"$1,144.2","$25,047",-12.7%,"95,456",-44,2017
463,464,Progressive,"$23,441",12.4%,"$1,031","$33,428",-18.7%,"31,721",-,2017
464,465,Duke Energy,"$23,369",-1%,"$2,152","$132,761",-23.6%,"28,798",-19,2017
465,466,Michelin,"$23,120",-1.7%,"$1,853.4","$26,705",43%,"105,654",-15,2017
466,467,Country Garden Holdings,"$23,044",27.9%,"$1,733.6","$85,124",17.4%,"94,450",-,2017
467,468,Heineken Holding,"$23,044",-0.7%,$861.5,"$41,469",-18.9%,"73,525",-9,2017
468,469,Enterprise Products Partners,"$23,022",-14.8%,"$2,513.1","$52,194",-0.3%,"6,800",-77,2017
469,470,AstraZeneca,"$23,002",-6.9%,"$3,499","$62,526",23.9%,"59,700",-35,2017
470,471,Amgen,"$22,991",6.1%,"$7,722","$77,626",11.3%,"19,200",16,2017
471,472,Rabobank Group,"$22,956",-4.4%,$828.3,"$698,790",-15.1%,"40,029",-27,2017
472,473,Altice,"$22,953",42.2%,"$-1,722.5","$84,805",-,"49,732",-,2017
473,474,Onex,"$22,943",3.8%,$-130,"$42,913",-,"161,000",9,2017
474,475,US Foods Holding,"$22,919",-0.9%,$209.8,"$8,945",25.2%,"25,000",-14,2017
475,476,Shanxi Jincheng Anthracite Coal Mining Group,"$22,875",-17%,$3,"$32,954",-,"135,691",-92,2017
476,477,Randstad Holding,"$22,873",7.3%,$650.2,"$9,624",13%,"32,280",17,2017
477,478,Tencent Holdings,"$22,871",39.7%,"$6,185.9","$56,968",35%,"38,775",-,2017
478,479,LG Display,"$22,840",-9%,$781.4,"$20,606",-8.6%,"49,094",-50,2017
479,480,Emirates Group,"$22,799",0.3%,$340.3,"$33,096",-82.5%,"64,768",-8,2017
480,481,U.S. Bancorp,"$22,744",5.8%,"$5,888","$445,964",0.2%,"71,191",9,2017
481,482,H & M Hennes & Mauritz,"$22,618",4.6%,"$2,192.3","$10,681",-12.3%,"114,586",6,2017
482,483,Aflac,"$22,559",8.1%,"$2,659","$129,819",5%,"10,212",-,2017
483,484,Sodexo,"$22,477",-2%,$707.2,"$15,766",-12.7%,"425,594",-18,2017
484,485,Suning Commerce Group,"$22,366",3.7%,$106,"$19,738",-23.6%,"60,354",-,2017
485,486,GS Caltex,"$22,207",-11.4%,"$1,221.1","$15,969",42.1%,"2,949",-55,2017
486,487,Ultrapar Holdings,"$22,167",-2.3%,$447.5,"$7,426",-0.8%,"15,173",-13,2017
487,488,Xiamen C&D,"$22,145",6.6%,$280.2,"$21,729",15.6%,"18,381",-,2017
488,489,Sears Holdings,"$22,138",-12%,"$-2,221","$9,362",-,"140,000",-64,2017
489,490,China General Technology,"$22,113",-20.1%,$413.6,"$20,860",-20.8%,"38,589",-107,2017
490,491,National Grid,"$22,036",-3.2%,"$10,150.6","$82,310",160.2%,"22,132",-20,2017
491,492,Dollar General,"$21,987",7.9%,"$1,251.1","$11,672",7.4%,"121,000",-,2017
492,493,Telecom Italia,"$21,941",-17.4%,"$1,999.4","$74,295",-,"61,227",-89,2017
493,494,Xiamen ITG Holding Group,"$21,930",34.3%,$35.6,"$12,161",-25.1%,"18,454",-,2017
494,495,Xinjiang Guanghui Industry Investment,"$21,919",31.1%,$251.8,"$31,957",49.9%,"65,616",-,2017
495,496,Teva Pharmaceutical Industries,"$21,903",11.5%,$329,"$92,890",-79.3%,"56,960",-,2017
496,497,New China Life Insurance,"$21,796",-13.3%,$743.9,"$100,609",-45.6%,"54,378",-70,2017
497,498,Wm. Morrison Supermarkets,"$21,741",-11.3%,$406.4,"$11,630",20.4%,"77,210",-61,2017
498,499,TUI,"$21,655",-5.5%,"$1,151.7","$16,247",195.5%,"66,779",-32,2017
499,500,AutoNation,"$21,609",3.6%,$430.5,"$10,060",-2.7%,"26,000",-,2017
