,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
286,"$35,481","$1,933","$41,356","$14,481",5.4%,4.7%,13.3%,ABB,2016
287,"$35,475","$2,072","$68,005","$35,633",5.8%,3%,5.8%,Schlumberger,2016
288,"$35,391",$709,"$24,392","$8,434",2%,2.9%,8.4%,J. Sainsbury,2016
289,"$35,379",$814,"$165,928","$8,996",2.3%,0.5%,9.1%,Talanx,2016
290,"$35,314",$384,"$54,555","$3,922",1.1%,0.7%,9.8%,China Metallurgical Group,2016
291,"$35,181","$1,214","$517,963","$34,736",3.5%,0.2%,3.5%,TIAA,2016
292,"$35,173","$-3,060","$820,231","$44,351",-8.7%,-0.4%,-6.9%,Credit Suisse Group,2016
293,"$35,134",$767,"$40,260","$8,892",2.2%,1.9%,8.6%,Sinomach,2016
294,"$34,992","$4,728","$82,431","$10,720",13.5%,5.7%,44.1%,SK Holdings,2016
295,"$34,852","$2,686","$113,686","$40,362",7.7%,2.4%,6.7%,Iberdrola,2016
296,"$34,829",$-866,"$91,564","$37,349",-2.5%,-0.9%,-2.3%,Rio Tinto Group,2016
297,"$34,795","$7,979","$821,134","$47,505",22.9%,1%,16.8%,Royal Bank of Canada,2016
298,"$34,693",$56,"$5,070",$397,0.2%,1.1%,14%,INTL FCStone,2016
299,"$34,582",$781,"$15,228","$7,658",2.3%,5.1%,10.2%,CHS,2016
300,"$34,576","$1,879","$934,603","$54,404",5.4%,0.2%,3.5%,UniCredit Group,2016
301,"$34,530",$933,"$10,838","$3,893",2.7%,8.6%,24%,Alimentation Couche-Tard,2016
302,"$34,441","$5,163","$161,184","$20,673",15%,3.2%,25%,American Express,2016
303,"$34,440",$498,"$26,847","$3,546",1.4%,1.9%,14%,Guangzhou Automobile Industry Group,2016
304,"$34,181","$4,963","$670,542","$38,962",14.5%,0.7%,12.7%,National Australia Bank,2016
305,"$34,098",$612,"$190,993","$10,491",1.8%,0.3%,5.8%,Poste Italiane,2016
306,"$33,871","$2,013","$19,706","$8,966",5.9%,10.2%,22.5%,Magna International,2016
307,"$33,709",$532,"$48,868","$14,574",1.6%,1.1%,3.6%,Mitsubishi Heavy Industries,2016
308,"$33,409",$621,"$69,566","$20,035",1.9%,0.9%,3.1%,Sumitomo,2016
309,"$33,223",$540,"$41,840","$4,917",1.6%,1.3%,11%,China Energy Engineering Group,2016
310,"$33,196","$2,702","$32,223","$21,856",8.1%,8.4%,12.4%,Hyundai Mobis,2016
311,"$33,024","$1,096","$92,466","$7,481",3.3%,1.2%,14.6%,Greenland Holding Group,2016
312,"$32,914","$3,054","$18,266","$6,134",9.3%,16.7%,49.8%,Accenture,2016
313,"$32,901","$2,114","$538,517","$15,246",6.4%,0.4%,13.9%,China Everbright Group,2016
314,"$32,751",$142,"$25,068","$5,438",0.4%,0.6%,2.6%,Jiangsu Shagang Group,2016
315,"$32,736","$4,476","$22,757","$6,550",13.7%,19.7%,68.3%,LyondellBasell Industries,2016
316,"$32,639","$18,108","$51,839","$18,534",55.5%,34.9%,97.7%,Gilead Sciences,2016
317,"$32,619","$1,965","$16,359","$12,394",6%,12%,15.9%,Publix Super Markets,2016
318,"$32,567",$456,"$19,554","$4,502",1.4%,2.3%,10.1%,Xinxing Cathay International Group,2016
319,"$32,497","$-2,416","$40,861","$4,697",-7.4%,-5.9%,-51.4%,SNCF Mobilités,2016
320,"$32,340","$1,080","$32,947","$6,032",3.3%,3.3%,17.9%,ZF Friedrichshafen,2016
321,"$32,017",$277,"$6,791","$1,651",0.9%,4.1%,16.8%,Edeka Zentrale,2016
322,"$31,958",$-166,"$39,738","$3,075",-0.5%,-0.4%,-5.4%,Datong Coal Mine Group,2016
323,"$31,883","$-1,680","$54,493","$1,919",-5.3%,-3.1%,-87.5%,China Minmetals,2016
324,"$31,846",$387,"$36,141","$8,011",1.2%,1.1%,4.8%,Mitsubishi Chemical Holdings,2016
325,"$31,755",$-367,"$45,024","$13,718",-1.2%,-0.8%,-2.7%,Shaanxi Yanchang Petroleum (Group),2016
326,"$31,734",$562,"$16,186","$4,042",1.8%,3.5%,13.9%,Quanta Computer,2016
327,"$31,706",$-142,"$66,627","$4,548",-0.4%,-0.2%,-3.1%,China National Building Materials Group,2016
328,"$31,555",$-57,"$17,195","$3,192",-0.2%,-0.3%,-1.8%,Jiangxi Copper,2016
329,"$31,537",$176,"$38,158","$4,871",0.6%,0.5%,3.6%,China Electronics,2016
330,"$31,469","$2,965","$31,997","$10,738",9.4%,9.3%,27.6%,General Dynamics,2016
331,"$31,437","$1,213","$117,240","$8,139",3.9%,1%,14.9%,China Huadian,2016
332,"$31,401","$1,820","$36,812","$24,663",5.8%,4.9%,7.4%,Canon,2016
333,"$31,318","$2,349","$31,558","$18,354",7.5%,7.4%,12.8%,Bridgestone,2016
334,"$31,195","$1,571","$443,540","$16,301",5%,0.4%,9.6%,DZ Bank,2016
335,"$31,100",$551,"$282,942","$8,711",1.8%,0.2%,6.3%,Sumitomo Life Insurance,2016
336,"$31,064","$6,274","$570,215","$37,280",20.2%,1.1%,16.8%,Westpac Banking,2016
337,"$31,039",$76,"$40,194","$3,989",0.2%,0.2%,1.9%,Shanxi Coking Coal Group,2016
338,"$30,945","$2,278","$11,500","$4,307",7.4%,19.8%,52.9%,TJX,2016
339,"$30,935","$-4,428","$97,484","$39,762",-14.3%,-4.5%,-11.1%,ConocoPhillips,2016
340,"$30,737",$166,"$11,277",$581,0.5%,1.5%,28.5%,Rite Aid,2016
341,"$30,645","$1,506","$46,891","$11,878",4.9%,3.2%,12.7%,Fresenius,2016
342,"$30,616",$289,"$119,163","$8,469",0.9%,0.2%,3.4%,State Power Investment,2016
343,"$30,601","$3,273","$21,600","$12,707",10.7%,15.2%,25.8%,Nike,2016
344,"$30,554","$1,854","$55,006","$19,909",6.1%,3.4%,9.3%,China Aerospace Science & Technology,2016
345,"$30,515",$819,"$121,090","$7,641",2.7%,0.7%,10.7%,China Guodian,2016
346,"$30,380",$187,"$4,549","$1,911",0.6%,4.1%,9.8%,World Fuel Services,2016
347,"$30,331",$-247,"$67,314","$6,365",-0.8%,-0.4%,-3.9%,Shaanxi Coal & Chemical Industry,2016
348,"$30,274","$4,833","$32,718","$11,708",16%,14.8%,41.3%,3M,2016
349,"$30,191",$438,"$41,204","$9,166",1.5%,1.1%,4.8%,China State Shipbuilding,2016
350,"$30,174","$6,361","$844,193","$50,006",21.1%,0.8%,12.7%,Toronto-Dominion Bank,2016
351,"$29,933","$1,438","$304,456","$10,100",4.8%,0.5%,14.2%,Power Corp. of Canada,2016
352,"$29,636","$7,267","$62,843","$28,012",24.5%,11.6%,25.9%,Mondelez International,2016
353,"$29,562",$235,"$95,339","$4,370",0.8%,0.2%,5.4%,HNA Group,2016
354,"$29,551","$1,561","$46,247","$22,645",5.3%,3.4%,6.9%,Schneider Electric,2016
355,"$29,447","$2,269","$95,384","$25,793",7.7%,2.4%,8.8%,Exelon,2016
356,"$29,329","$2,883","$94,168","$15,428",9.8%,3.1%,18.7%,China Vanke,2016
357,"$29,282","$1,607","$33,740","$17,385",5.5%,4.8%,9.2%,LM Ericsson,2016
358,"$29,082","$1,219","$14,164","$4,232",4.2%,8.6%,28.8%,Bharat Petroleum,2016
359,"$29,052",$220,"$11,237","$2,894",0.8%,2%,7.6%,Wuchan Zhongda Group,2016
360,"$28,987","$8,306","$50,051","$17,220",28.7%,16.6%,48.2%,Twenty-First Century Fox,2016
361,"$28,984","$-2,435","$1,201,666","$78,741",-8.4%,-0.2%,-3.1%,Royal Bank of Scotland Group,2016
362,"$28,958","$5,868","$624,799","$40,193",20.3%,0.9%,14.6%,Australia & New Zealand Banking Group,2016
363,"$28,910",$131,"$25,347",$244,0.5%,0.5%,53.6%,Air France-KLM Group,2016
364,"$28,863","$1,940","$57,948","$6,743",6.7%,3.3%,28.8%,Deere,2016
365,"$28,858","$1,666","$52,281","$15,605",5.8%,3.2%,10.7%,Gas Natural Fenosa,2016
366,"$28,847","$-1,492","$13,115","$4,703",-5.2%,-11.4%,-31.7%,JD.com,2016
367,"$28,829",$752,"$13,242","$2,617",2.6%,5.7%,28.7%,Hindustan Petroleum,2016
368,"$28,689",$716,"$33,646","$12,667",2.5%,2.1%,5.6%,Royal Philips,2016
369,"$28,670","$3,897","$61,209","$14,917",13.6%,6.4%,26.1%,BT Group,2016
370,"$28,642",$-277,"$29,742","$2,886",-1%,-0.9%,-9.6%,Shanxi LuAn Mining Group,2016
371,"$28,586",$280,"$37,684","$14,948",1%,0.7%,1.9%,JFE Holdings,2016
372,"$28,486",$833,"$62,095","$16,717",2.9%,1.3%,5%,Migros Group,2016
373,"$28,376","$1,120","$22,677","$7,718",3.9%,4.9%,14.5%,Mazda Motor,2016
374,"$28,310",$-30,"$31,669","$1,877",-0.1%,-0.1%,-1.6%,Yangquan Coal Industry Group,2016
375,"$28,150","$1,540","$16,332","$5,213",5.5%,9.4%,29.5%,Tesoro,2016
376,"$28,118","$3,833","$63,848","$23,619",13.6%,6%,16.2%,Time Warner,2016
377,"$28,111",$815,"$238,472","$19,656",2.9%,0.3%,4.1%,Northwestern Mutual,2016
378,"$28,017","$3,658","$36,617","$25,649",13.1%,10%,14.3%,L’Oréal,2016
379,"$27,940","$1,953","$41,166","$9,993",7%,4.7%,19.5%,DuPont,2016
380,"$27,925",$572,"$10,800","$4,685",2%,5.3%,12.2%,Avnet,2016
381,"$27,867","$1,471","$36,732","$12,935",5.3%,4%,11.4%,China Aerospace Science & Industry,2016
382,"$27,693",$499,"$38,982","$9,057",1.8%,1.3%,5.5%,Veolia Environnement,2016
383,"$27,667",$523,"$21,471","$5,271",1.9%,2.4%,9.9%,China General Technology,2016
384,"$27,572",$-154,"$32,624","$3,594",-0.6%,-0.5%,-4.3%,Shanxi Jincheng Anthracite Coal Mining Group,2016
385,"$27,377","$2,431","$139,115","$17,114",8.9%,1.7%,14.2%,Dalian Wanda Group,2016
386,"$27,189",$-463,"$19,332","$2,184",-1.7%,-2.4%,-21.2%,China Nonferrous Metal Mining (Group),2016
387,"$27,157","$1,342","$13,247","$2,934",4.9%,10.1%,45.7%,Compass Group,2016
388,"$27,123","$1,329","$90,646","$7,466",4.9%,1.5%,17.8%,Sompo Japan Nipponkoa Holdings,2016
389,"$27,079","$1,072","$20,576","$4,250",4%,5.2%,25.2%,Macy’s,2016
390,"$27,070",$406,"$14,155","$6,700",1.5%,2.9%,6.1%,Delhaize Group,2016
391,"$27,038","$1,173","$65,959","$9,856",4.3%,1.8%,11.9%,Kansai Electric Power,2016
392,"$27,028","$2,521","$48,952","$20,295",9.3%,5.2%,12.4%,Enterprise Products Partners,2016
393,"$27,015",$808,"$25,492","$8,728",3%,3.2%,9.3%,Aisin Seiki,2016
394,"$26,933","$1,714","$507,339","$29,634",6.4%,0.3%,5.8%,Manulife Financial,2016
395,"$26,924","$3,637","$23,068","$12,115",13.5%,15.8%,30%,Fuji Heavy Industries,2016
396,"$26,916",$432,"$17,642","$7,886",1.6%,2.5%,5.5%,Coop Group,2016
397,"$26,800","$3,439","$100,184","$23,598",12.8%,3.4%,14.6%,Travelers Cos.,2016
398,"$26,794","$6,873","$33,956","$-13,244",25.7%,20.2%,-,Philip Morris International,2016
399,"$26,783","$5,589","$1,721,468","$58,373",20.9%,0.3%,9.6%,Mizuho Financial Group,2016
400,"$26,695",$274,"$9,985","$3,160",1%,2.7%,8.7%,Compal Electronics,2016
401,"$26,675",$840,"$91,455","$7,531",3.1%,0.9%,11.1%,China Poly Group,2016
402,"$26,596",$863,"$28,989","$9,434",3.2%,3%,9.1%,Daiwa House Industry,2016
403,"$26,575","$9,542","$50,467","$36,357",35.9%,18.9%,26.2%,Taiwan Semiconductor Manufacturing,2016
404,"$26,569",$-80,"$77,372","$19,128",-0.3%,-0.1%,-0.4%,Telecom Italia,2016
405,"$26,494",$972,"$24,044","$8,940",3.7%,4%,10.9%,Suzuki Motor,2016
406,"$26,440",$184,"$112,349","$7,592",0.7%,0.2%,2.4%,China Datang,2016
407,"$26,436",$196,"$60,958","$13,607",0.7%,0.3%,1.4%,Enbridge,2016
408,"$26,410","$1,637","$33,981","$14,862",6.2%,4.8%,11%,China Electronics Technology Group,2016
409,"$26,380",$266,"$6,358","$2,006",1%,4.2%,13.2%,Tech Data,2016
410,"$26,304",$287,"$24,839","$2,544",1.1%,1.2%,11.3%,Zhejiang Geely Holding Group,2016
411,"$26,218",$803,"$34,766","$14,137",3.1%,2.3%,5.7%,CRH,2016
412,"$26,147",$-300,"$21,375","$3,102",-1.1%,-1.4%,-9.7%,Idemitsu Kosan,2016
413,"$25,763",$425,"$100,926","$11,148",1.6%,0.4%,3.8%,Achmea,2016
414,"$25,758",$-339,"$34,712","$13,860",-1.3%,-1%,-2.4%,Lotte Shopping,2016
415,"$25,647","$1,403","$29,596","$4,405",5.5%,4.7%,31.8%,BAE Systems,2016
416,"$25,642",$224,"$8,409","$2,684",0.9%,2.7%,8.3%,Phoenix Pharmahandel,2016
417,"$25,609","$-12,129","$88,492","$33,589",-47.4%,-13.7%,-36.1%,Vale,2016
418,"$25,563",$704,"$253,105","$10,561",2.8%,0.3%,6.7%,La Poste,2016
419,"$25,515","$1,310","$25,013","$7,929",5.1%,5.2%,16.5%,Koç Holding,2016
420,"$25,413","$4,529","$37,939","$7,088",17.8%,11.9%,63.9%,McDonald’s,2016
421,"$25,356","$1,658","$30,662","$5,677",6.5%,5.4%,29.2%,International Airlines Group,2016
422,"$25,281","$5,271","$50,796","$31,421",20.8%,10.4%,16.8%,Qualcomm,2016
423,"$25,237",$163,"$3,435",$680,0.6%,4.7%,24%,Rajesh Exports,2016
424,"$25,224",$256,"$13,324","$3,367",1%,1.9%,7.6%,Medipal Holdings,2016
425,"$25,146","$-1,129","$11,337","$-1,963",-4.5%,-10%,-,Sears Holdings,2016
426,"$25,136",$-28,"$41,122","$7,222",-0.1%,-0.1%,-0.4%,Shandong Energy Group,2016
427,"$25,129","$1,369","$101,725","$8,907",5.4%,1.3%,15.4%,New China Life Insurance,2016
428,"$25,119","$5,639","$654,714","$39,764",22.4%,0.9%,14.2%,Bank of Nova Scotia,2016
429,"$25,100",$855,"$19,259","$10,401",3.4%,4.4%,8.2%,LG Display,2016
430,"$25,098","$4,050","$334,048","$47,284",16.1%,1.2%,8.6%,Capital One Financial,2016
431,"$25,061",$859,"$16,164","$7,654",3.4%,5.3%,11.2%,GS Caltex,2016
432,"$24,989","$-1,174","$35,480","$12,678",-4.7%,-3.3%,-9.3%,OMV Group,2016
433,"$24,861","$1,422","$35,532","$13,693",5.7%,4%,10.4%,Danone,2016
434,"$24,795",$786,"$68,962","$9,313",3.2%,1.1%,8.4%,Mapfre Group,2016
435,"$24,708","$2,825","$60,124","$18,490",11.4%,4.7%,15.3%,AstraZeneca,2016
436,"$24,704","$1,990","$46,612","$21,140",8.1%,4.3%,9.4%,EMC,2016
437,"$24,522",$338,"$13,189","$5,327",1.4%,2.6%,6.3%,Wm. Morrison Supermarkets,2016
438,"$24,514","$-1,527","$73,247","$31,343",-6.2%,-2.1%,-4.9%,LafargeHolcim,2016
439,"$24,501","$1,071","$196,505","$20,171",4.4%,0.5%,5.3%,Samsung Life Insurance,2016
440,"$24,432",$758,"$24,407","$11,139",3.1%,3.1%,6.8%,Sumitomo Electric Industries,2016
441,"$24,419",$444,"$12,385","$2,571",1.8%,3.6%,17.3%,Flextronics International,2016
442,"$24,415",$9,"$10,564","$3,628",-,0.1%,0.2%,Adecco Group,2016
443,"$24,362",$-45,"$22,593","$5,851",-0.2%,-0.2%,-0.8%,CPC,2016
444,"$24,361","$2,272","$137,077","$27,725",9.3%,1.7%,8.2%,USAA,2016
445,"$24,019",$976,"$728,159","$27,922",4.1%,0.1%,3.5%,Rabobank Group,2016
446,"$24,002","$2,816","$121,156","$39,727",11.7%,2.3%,7.1%,Duke Energy,2016
447,"$23,883","$2,043","$69,316","$21,297",8.6%,2.9%,9.6%,East Japan Railway,2016
448,"$23,774","$1,414","$49,288","$13,751",5.9%,2.9%,10.3%,Chubu Electric Power,2016
449,"$23,633",$-671,"$36,942","$15,462",-2.8%,-1.8%,-4.3%,Halliburton,2016
450,"$23,526","$1,990","$24,454","$5,522",8.5%,8.1%,36%,Northrop Grumman,2016
451,"$23,516","$1,296","$25,953","$10,307",5.5%,5%,12.6%,Michelin,2016
452,"$23,500",$573,"$22,188","$7,195",2.4%,2.6%,8%,NEC,2016
453,"$23,480",$139,"$41,447","$3,514",0.6%,0.3%,3.9%,Energie Baden-Württemberg,2016
454,"$23,438",$753,"$12,195","$5,617",3.2%,6.2%,13.4%,PKN ORLEN Group,2016
455,"$23,282",$498,"$13,022","$4,142",2.1%,3.8%,12%,Arrow Electronics,2016
456,"$23,274","$2,691","$167,622","$29,401",11.6%,1.6%,9.2%,AIA Group,2016
457,"$23,247","$2,074","$29,281","$10,128",8.9%,7.1%,20.5%,Raytheon,2016
458,"$23,217","$-1,561","$55,819","$28,108",-6.7%,-2.8%,-5.6%,Suncor Energy,2016
459,"$23,208","$1,062","$40,965","$7,332",4.6%,2.6%,14.5%,Heineken Holding,2016
460,"$23,152",$118,"$24,142","$1,762",0.5%,0.5%,6.7%,Plains GP Holdings,2016
461,"$23,128",$168,"$9,239","$1,873",0.7%,1.8%,8.9%,US Foods Holding,2016
462,"$23,065","$3,399","$44,958","$25,273",14.7%,7.6%,13.4%,SAP,2016
463,"$23,053","$3,171","$18,779","$12,345",13.8%,16.9%,25.7%,Inditex,2016
464,"$23,039",$282,"$36,156","$8,579",1.2%,0.8%,3.3%,Korea Gas,2016
465,"$22,965","$1,145","$55,642","$19,076",5%,2.1%,6%,China COSCO Shipping,2016
466,"$22,942",$810,"$16,220","$4,157",3.5%,5%,19.5%,Sodexo,2016
467,"$22,914",$390,"$15,722","$2,136",1.7%,2.5%,18.3%,TUI,2016
468,"$22,881","$1,205","$157,732","$10,533",5.3%,0.8%,11.4%,Cathay Life Insurance,2016
469,"$22,859","$5,144","$53,050","$3,945",22.5%,9.7%,130.4%,AbbVie,2016
470,"$22,795",$355,"$7,339","$2,157",1.6%,4.8%,16.5%,Centene,2016
471,"$22,758","$3,901","$84,694","$19,480",17.1%,4.6%,20%,National Grid,2016
472,"$22,734","$1,940","$32,448","$8,688",8.5%,6%,22.3%,Emirates Group,2016
473,"$22,715","$15,295","$133,285","$55,302",67.3%,11.5%,27.7%,CK Hutchison Holdings,2016
474,"$22,695",$451,"$5,301","$2,009",2%,8.5%,22.5%,Ultrapar Holdings,2016
475,"$22,678",$158,"$26,861","$4,019",0.7%,0.6%,3.9%,Community Health Systems,2016
476,"$22,534",$-322,"$36,528","$12,046",-1.4%,-0.9%,-2.7%,Arconic,2016
477,"$22,479",$4,"$2,604",$185,-,0.1%,2.1%,Greenergy Fuels Holdings,2016
478,"$22,449",$175,"$187,170","$19,952",0.8%,0.1%,0.9%,VTB Bank,2016
479,"$22,365",$938,"$30,587","$3,884",4.2%,3.1%,24.2%,International Paper,2016
480,"$22,304","$2,710","$22,088","$8,081",12.2%,12.3%,33.5%,Emerson Electric,2016
481,"$22,174","$2,022","$19,841","$7,577",9.1%,10.2%,26.7%,Midea Group,2016
482,"$22,126","$3,519","$31,078","$10,837",15.9%,11.3%,32.5%,Telstra,2016
483,"$22,104",$-573,"$35,810",$-163,-2.6%,-1.6%,-,Onex,2016
484,"$22,101",$334,"$4,875","$2,096",1.5%,6.9%,16%,China National Aviation Fuel Group,2016
485,"$21,813","$4,772","$54,600","$20,702",21.9%,8.7%,23.1%,Union Pacific,2016
486,"$21,720",$332,"$11,674","$4,057",1.5%,2.8%,8.2%,Wolseley,2016
487,"$21,662","$6,939","$71,576","$28,083",32%,9.7%,24.7%,Amgen,2016
488,"$21,627","$2,499","$9,843","$6,658",11.6%,25.4%,37.5%,H & M Hennes & Mauritz,2016
489,"$21,514",$-320,"$67,291","$16,397",-1.5%,-0.5%,-2%,Shougang Group,2016
490,"$21,494","$5,879","$421,853","$46,131",27.4%,1.4%,12.7%,U.S. Bancorp,2016
491,"$21,478",$302,"$97,512","$6,000",1.4%,0.3%,5%,Unipol Group,2016
492,"$21,461",$291,"$11,154","$3,262",1.4%,2.6%,8.9%,Alfresa Holdings,2016
493,"$21,365",$906,"$189,120","$12,169",4.2%,0.5%,7.4%,Swiss Life,2016
494,"$21,319",$576,"$7,939","$4,195",2.7%,7.2%,13.7%,Randstad Holding,2016
495,"$21,209",$786,"$14,301","$5,763",3.7%,5.5%,13.6%,WH Group,2016
496,"$21,184","$2,474","$116,582","$19,518",11.7%,2.1%,12.7%,Evergrande Real Estate Group,2016
497,"$21,059",$379,"$10,172","$5,376",1.8%,3.7%,7.1%,Staples,2016
498,"$20,976","$-2,194","$640,483","$46,204",-10.5%,-0.3%,-4.7%,Standard Chartered,2016
499,"$20,969",$127,"$32,899","$7,389",0.6%,0.4%,1.7%,Rolls-Royce Holdings,2016
500,"$20,923",$938,"$196,810","$9,844",4.5%,0.5%,9.5%,Old Mutual,2016
